iter	Passed	Remaining
972	4305	119
973	4309	115
974	4313	110
975	4317	106
976	4321	101
977	4325	97
978	4329	92
979	4333	88
980	4337	84
981	4341	79
982	4345	75
983	4349	70
984	4353	66
985	4357	61
986	4361	57
987	4365	53
988	4368	48
989	4372	44
990	4376	39
991	4380	35
992	4384	30
993	4388	26
994	4392	22
995	4396	17
996	4400	13
997	4404	8
998	4408	4
999	4412	0
