shirtNumber,jerseyNumber,position,substitute,player.name,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalClearance,statistics.goodHighClaim,statistics.saves,statistics.punches,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.aerialLost,statistics.duelLost,statistics.duelWon,statistics.dispossessed,statistics.interceptionWon,statistics.totalTackle,statistics.fouls,statistics.aerialWon,statistics.challengeLost,statistics.shotOffTarget,statistics.errorLeadToAShot,statistics.wasFouled,statistics.accurateCross,statistics.totalContest,statistics.keyPass,statistics.bigChanceMissed,statistics.blockedScoringAttempt,statistics.wonContest,statistics.outfielderBlock,captain,statistics.goalAssist,statistics.totalOffside,statistics.onTargetScoringAttempt,statistics.goals,team,player_type,statistics.savedShotsFromInsideTheBox
19,19,M,False,Linyan Zhang,L. Zhang,M,23,945623,CN,China,979603200.0,25.0,19.0,1.0,1.0,1.0,,,,,,90.0,55.0,6.7,17.0,6.7,6.6,,2.0,10.0,9.0,1.0,,4.0,2.0,,2.0,,,4.0,,4.0,,,1.0,1.0,,,,,1.0,,away,main,
17,17,F,False,Wu Chengshu,W. Chengshu,M,10,1172565,CN,China,841017600.0,22.0,16.0,1.0,1.0,1.0,,,,,,89.0,45.0,6.1,20.0,6.1,6.1,,4.0,14.0,4.0,2.0,,,2.0,3.0,2.0,1.0,,1.0,,4.0,,,,,,,,1.0,,,away,main,
14,14,F,False,Jiahui Lou,J. Lou,D,1,38464,CN,China,675216000.0,21.0,20.0,,,1.0,,,,,,78.0,37.0,6.7,8.0,6.7,6.7,3.0,3.0,7.0,3.0,1.0,1.0,1.0,,2.0,2.0,,,,1.0,1.0,1.0,,,,,,,,,,away,main,
7,7,M,True,Wang Shuang,W. Shuang,F,104,256433,CN,China,790819200.0,21.0,13.0,1.0,,,,,,,,45.0,32.0,6.8,12.0,6.8,6.8,2.0,1.0,2.0,1.0,,1.0,,1.0,,,2.0,,,,1.0,,,,1.0,,,,1.0,1.0,,away,substitute,
9,9,M,True,Mengyu Shen,M. Shen,M,46,944516,CN,China,998179200.0,9.0,8.0,1.0,1.0,,,,,,,12.0,12.0,6.8,1.0,6.8,6.7,,,1.0,2.0,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,,,,,away,substitute,
23,23,D,True,Chen Gao,C. Gao,D,1,845591,CN,China,713491200.0,6.0,3.0,1.0,,,,,,,,13.0,8.0,6.4,3.0,6.4,6.3,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,away,substitute,
21,21,F,True,Yasha Gu,Y. Gu,M,2,38468,CN,China,659750400.0,3.0,1.0,,,,,,,,,1.0,5.0,,2.0,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,away,substitute,
1,1,G,True,Yu Zhu,Y. Zhu,G,1,1114874,CN,China,869616000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
22,22,G,True,Pan Hongyan,P. Hongyan,G,1,1425075,CN,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
5,5,D,True,Haiyan Wu,H. Wu,D,1,796634,CN,China,730684800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
4,4,D,True,Linlin Wang,L. Wang,D,2,1391278,CN,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
3,3,D,True,Dou Jiaxing,D. Jiaxing,D,1,1486278,CN,China,951782400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
20,20,F,True,Xiao Yuyi,X. Yuyi,M,11,931439,CN,China,821232000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
18,18,F,True,Jiali Tang,J. Tang,M,41,276799,CN,China,795312000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
16,16,M,True,Yao Lingwei,Y. Lingwei,M,1,1004572,CN,China,818121600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
