shirtNumber,jerseyNumber,position,substitute,player.name,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalClearance,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.accurateCross,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.dispossessed,statistics.totalContest,statistics.wonContest,statistics.shotOffTarget,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.fouls,statistics.keyPass,statistics.outfielderBlock,statistics.aerialLost,captain,statistics.onTargetScoringAttempt,statistics.bigChanceMissed,statistics.hitWoodwork,statistics.penaltyMiss,statistics.blockedScoringAttempt,statistics.totalOffside,statistics.goalAssist,statistics.bigChanceCreated,statistics.goals,team,player_type,statistics.punches,statistics.penaltyConceded
11,11,M,False,Guro Reiten,G. Reiten,M,787,96004,NO,Norway,775180800,23.0,13.0,6.0,1.0,,,,,90.0,44.0,6.3,19.0,6.3,6.0,2.0,,2.0,9.0,6.0,,4.0,3.0,2.0,1.0,,2.0,,2.0,,,2.0,,,1.0,,,1.0,,,,,away,main,,
10,10,F,False,Caroline Graham Hansen,C. Hansen,F,1153,986310,NO,Norway,793065600,22.0,18.0,1.0,1.0,,,,,90.0,47.0,7.0,15.0,7.0,6.8,2.0,,,7.0,7.0,,2.0,10.0,6.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,away,main,,
14,14,F,False,Ada Hegerberg,A. Hegerberg,F,838,114542,NO,Norway,805334400,17.0,9.0,2.0,,1.0,,,,90.0,38.0,6.7,17.0,6.7,6.6,1.0,,2.0,13.0,2.0,1.0,1.0,3.0,,2.0,,,,3.0,3.0,,6.0,,,,,,2.0,1.0,,1.0,,away,main,,
17,17,F,False,Julie Blakstad,J. Blakstad,F,92,981905,NO,Norway,998784000,19.0,9.0,,,2.0,,,,56.0,49.0,5.9,24.0,5.9,6.0,2.0,1.0,2.0,19.0,6.0,3.0,5.0,6.0,1.0,,1.0,2.0,1.0,3.0,,,4.0,,,,,,,1.0,,,,away,main,,
20,20,F,True,Emilie Haavi,E. Haavi,F,56,36345,NO,Norway,708652800,13.0,6.0,3.0,,,,,,34.0,26.0,6.9,12.0,6.9,6.9,4.0,1.0,1.0,4.0,5.0,,,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,1.0,,,,,,1.0,,,,,away,substitute,,
8,8,M,True,Vilde Bøe Risa,V. B. Risa,M,142,997955,NO,Norway,805593600,13.0,7.0,,,,,,,16.0,20.0,6.8,7.0,6.8,6.9,,,2.0,,4.0,,,,,,,2.0,,,,,,,,,,,,,,,,away,substitute,,
2,2,D,True,Anja Sønstevold,A. Sønstevold,D,27,68151,NO,Norway,709084800,5.0,2.0,1.0,,,,,,8.0,10.0,6.7,3.0,6.7,6.8,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,away,substitute,,
1,1,G,True,Cecilie Fiskerstrand,C. Fiskerstrand,G,15,258213,NO,Norway,827280000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
12,12,G,True,Guro Pettersen,G. Pettersen,G,40,877171,NO,Norway,682819200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
3,3,D,True,Sara Hørte,S. Hørte,D,2,1425078,NO,Norway,975024000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
5,5,D,True,Guro Bergsvand,G. Bergsvand,D,29,939513,NO,Norway,762652800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
19,19,D,True,Marit Bratberg Lund,M. B. Lund,M,4,837396,NO,Norway,878860800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
9,9,F,True,Karina Sævik,K. Sævik,M,60,823181,NO,Norway,827625600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
22,22,F,True,Sophie Haug,S. Haug,F,60,843076,NO,Norway,936403200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
15,15,M,True,Amalie Eikeland,A. Eikeland,F,42,184917,NO,Norway,809395200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
21,21,F,True,Anna Jøsendal,A. Jøsendal,F,26,910472,NO,Norway,988502400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
