shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.duelWon,statistics.wasFouled,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.accurateCross,statistics.aerialWon,statistics.duelLost,statistics.challengeLost,statistics.totalContest,statistics.wonContest,statistics.blockedScoringAttempt,statistics.totalClearance,statistics.interceptionWon,statistics.totalTackle,statistics.fouls,statistics.keyPass,statistics.aerialLost,statistics.outfielderBlock,statistics.dispossessed,statistics.bigChanceCreated,statistics.shotOffTarget,statistics.onTargetScoringAttempt,statistics.goalAssist,statistics.bigChanceMissed,statistics.goals,team,player_type,statistics.punches,statistics.hitWoodwork,statistics.totalOffside
46,46,F,False,Nikola Vujnović,,,nikola-vujnovic,N. Vujnović,F,34,357708,ME,Montenegro,EUR,852940800,8.0,8.0,,,3.0,1.0,,,60.0,18.0,7.7,,7.7,7.6,,,1.0,3.0,,1.0,1.0,,1.0,,,,1.0,3.0,,,,2.0,4.0,,1.0,1.0,home,main,,,
9,9,F,True,Sven Blummel,,,sven-blummel,S. Blummel,M,31,806289,NL,Netherlands,EUR,842140800,4.0,3.0,1.0,,,,,,26.0,9.0,6.5,2.0,6.5,6.5,,,,2.0,,,,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,home,substitute,,,
15,15,M,True,Filip Mrzljak,,,filip-mrzljak,F. Mrzljak,M,45,94235,HR,Croatia,EUR,734918400,13.0,12.0,1.0,,,,,,30.0,18.0,6.5,2.0,6.5,6.4,1.0,1.0,,3.0,2.0,,,1.0,,,,,1.0,,,1.0,,,1.0,,,,home,substitute,,,
7,7,F,True,Ante Matej Jurić,Ante Matej Juric,,ante-matej-juric,A. M. Jurić,F,71,1144266,HR,Croatia,EUR,1038268800,7.0,3.0,,,1.0,,,,30.0,11.0,6.5,5.0,6.5,6.5,,,,5.0,1.0,,,1.0,,,1.0,1.0,,2.0,,1.0,,1.0,,,,,home,substitute,,,
25,25,D,True,Krešimir Krizmanić,,,kresimir-krizmanic,K. Krizmanić,D,185,946040,HR,Croatia,EUR,962582400,5.0,3.0,2.0,,,,,,19.0,11.0,6.6,3.0,6.6,6.6,,,,1.0,,,,,3.0,,,1.0,1.0,,,,,,1.0,,,,home,substitute,,,
89,89,F,True,Tim Matavž,,,tim-matavz,T. Matavž,F,161,28324,SI,Slovenia,EUR,600566400,,,,,,,,,10.0,,6.5,,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
12,12,G,True,Jan Paolo Debijađi,,,jan-paolo-debijadi,J. P. Debijađi,G,32,943392,HR,Croatia,EUR,955843200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
44,44,G,True,Božidar Radošević,,,bozidar-radosevic,B. Radošević,G,98,84360,HR,Croatia,EUR,607651200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
34,34,D,True,Mario Matković,Mario Matkovic,,mario-matkovic,M. Matković,D,22,1163517,HR,Croatia,EUR,1049241600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
35,35,D,True,Zvonimir Josić,,,zvonimir-josic,Z. Josić,D,15,1469647,HR,Croatia,EUR,1156809600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
40,40,D,True,Đuro-Giulio Đekić,,,duro-giulio-dekic,Đ. Đekić,D,6,1153960,RS,Serbia,EUR,1120089600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
23,23,M,True,Luka Kapulica,,,luka-kapulica,L. Kapulica,M,114,1391849,HR,Croatia,EUR,1106006400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
1,1,G,False,Oliver Zelenika,,,oliver-zelenika,O. Zelenika,G,84,94218,HR,Croatia,EUR,737337600,34.0,32.0,2.0,,1.0,,3.0,6.0,90.0,48.0,7.7,2.0,7.7,7.7,,,1.0,,,,,,1.0,,,,,,,,,,,,,,away,main,1.0,,
18,18,D,False,Matija Kolarić,,,matija-kolaric,M. Kolarić,D,29,814440,HR,Croatia,EUR,829440000,40.0,32.0,3.0,2.0,4.0,,,,90.0,71.0,7.1,16.0,7.1,6.9,4.0,2.0,1.0,1.0,,2.0,2.0,,3.0,,1.0,,3.0,,,1.0,,1.0,,,1.0,,away,main,,,
26,26,D,False,Luka Jelenić,,,luka-jelenic,L. Jelenić,D,102,957630,HR,Croatia,EUR,959126400,63.0,57.0,5.0,2.0,2.0,,,,79.0,69.0,6.6,6.0,6.6,6.7,,,2.0,2.0,,,,,4.0,,,1.0,,1.0,1.0,,,,,,,,away,main,,,
4,4,D,False,Jorgo Pëllumbi,,,jorgo-pellumbi,J. Pëllumbi,D,60,856561,AL,Albania,EUR,963619200,69.0,58.0,8.0,3.0,3.0,,,,90.0,78.0,6.8,12.0,6.8,6.8,,,2.0,4.0,,2.0,1.0,,2.0,1.0,,2.0,,1.0,2.0,,,,,,,,away,main,,,
