customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayRedCards,aggregatedWinnerCode,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,coverage
PPsFCRb,2,True,True,True,1.0,False,10396419,1677429000,nk-varazdin-nk-osijek,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HR,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,HR,38341,False,True,170,True,False,344,48,23.0,100,Ended,finished,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,NK Varaždin,nk-varazdin,Varaždin,M,Football,football,1,8362,VAR,False,False,0,231380,HR,Croatia,[],#004194,#ffffff,#ffffff,0,0,0,0,0,1,1,1,0,1,1.0,4.0,1677436005.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1677436008,,,,,,
LPsPP,2,True,,,,False,10888704,1677690000,nk-osijek-hnk-hajduk-split,False,Croatia Cup,croatia-cup,Croatia,croatia,Football,football,1,14,croatia,HR,Croatian Cup,croatian-cup,#d9251d,#4087c7,Croatia,croatia,Football,football,1,14,croatia,HR,7602,False,False,307,False,False,0,170,27.0,100,Ended,finished,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,HNK Hajduk Split,hnk-hajduk-split,Hajduk,M,Football,football,1,62457,HAJ,False,False,0,2036,HR,Croatia,[],#ffffff,#ffffff,#ffffff,1,1,0,1,1,2,2,1,1,2,,,1677694020.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1677697131,,2.0,Quarterfinal,quarterfinal,4.0,
HPsPP,3,True,True,True,1.0,False,10396406,1678033800,nk-osijek-gnk-dinamo-zagreb,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HR,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,HR,38341,False,True,170,True,False,344,48,24.0,100,Ended,finished,GNK Dinamo Zagreb,gnk-dinamo-zagreb,Dinamo,M,Football,football,1,122203,DIN,False,False,0,2032,HR,Croatia,[],#0b59a1,#ffffff,#ffffff,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,1,1,0,1,1,1,1,0,1,1,1.0,5.0,1678040961.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1678040966,,,,,,
LPsPP,2,True,True,True,1.0,False,10396624,1678638600,nk-osijek-hnk-hajduk-split,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HR,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,HR,38341,False,True,170,True,False,344,48,25.0,100,Ended,finished,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,HNK Hajduk Split,hnk-hajduk-split,Hajduk,M,Football,football,1,62457,HAJ,False,False,0,2036,HR,Croatia,[],#ffffff,#ffffff,#ffffff,0,0,0,0,0,2,2,2,0,2,3.0,5.0,1678645793.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1678645803,,,,,,
EPsPP,3,True,True,True,1.0,False,10396395,1679151600,nk-osijek-hnk-sibenik,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HR,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,HR,38341,False,True,170,True,False,344,48,26.0,100,Ended,finished,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,HNK Šibenik,hnk-sibenik,Šibenik,M,Football,football,1,7650,SIB,False,False,0,2029,HR,Croatia,[],#fd6d19,#000080,#000080,0,0,0,0,0,0,0,0,0,0,2.0,4.0,1679158695.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1679158698,,,,,,
OPsPP,3,True,True,True,1.0,False,10396424,1680440400,nk-osijek-hnk-rijeka,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HR,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,HR,38341,False,True,170,True,False,344,48,27.0,100,Ended,finished,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,1,1,1,0,1,1,1,0,1,1,2.0,5.0,1680447230.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1680447570,,,,,,
PPsrDr,1,True,True,True,1.0,False,10396412,1680958800,hnk-gorica-nk-osijek,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HR,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,HR,38341,False,True,170,True,False,344,48,28.0,100,Ended,finished,HNK Gorica,hnk-gorica,Gorica,M,Football,football,1,10172,GOR,False,False,0,43917,HR,Croatia,[],#ff0000,#ffffff,#ffffff,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,2,2,0,2,2,0,0,0,0,0,4.0,4.0,1680965832.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1680965834,,,,,,
PPsWzo,3,True,True,True,1.0,False,10396892,1681570800,nk-lokomotiva-zagreb-nk-osijek,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HR,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,HR,38341,False,True,170,True,False,344,48,29.0,100,Ended,finished,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,NK Lokomotiva Zagreb,nk-lokomotiva-zagreb,Lokomotiva,M,Football,football,1,10353,LOK,False,False,0,36246,HR,Croatia,[],#0000ff,#ffffff,#ffffff,2,2,1,1,2,2,2,1,1,2,2.0,5.0,1681577868.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1681577871,,,,,,
PPsRP,1,True,True,True,1.0,False,10396435,1682093400,nk-slaven-belupo-nk-osijek,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HR,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,HR,38341,False,True,170,True,False,344,48,30.0,100,Ended,finished,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,False,0,2042,HR,Croatia,[],#4f6abc,#ffffff,#ffffff,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,2,2,0,2,2,1,1,0,1,1,,4.0,1682100698.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1682100712,,,,,,
PPsEkk,1,True,True,True,1.0,False,10396437,1682514000,nk-istra-1961-nk-osijek,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HR,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,HR,38341,False,True,170,True,False,344,48,31.0,100,Ended,finished,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,NK Istra 1961,nk-istra-1961,Istra,M,Football,football,1,9068,IST,False,False,0,25529,HR,Croatia,[],#eee447,#222226,#222226,1,1,0,1,1,0,0,0,0,0,1.0,5.0,1682520952.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682520955,,,,,,
PPsFCRb,2,True,True,True,1.0,False,10396473,1682859600,nk-varazdin-nk-osijek,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HR,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,HR,38341,False,True,170,True,False,344,48,32.0,100,Ended,finished,NK Varaždin,nk-varazdin,Varaždin,M,Football,football,1,8362,VAR,False,False,0,231380,HR,Croatia,[],#004194,#ffffff,#ffffff,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,1,1,0,1,1,3,3,2,1,3,1.0,5.0,1682866242.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682866244,,,,,,
HPsPP,3,True,True,True,1.0,False,10396365,1683471600,nk-osijek-gnk-dinamo-zagreb,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HR,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,HR,38341,False,True,170,True,False,344,48,33.0,100,Ended,finished,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,GNK Dinamo Zagreb,gnk-dinamo-zagreb,Dinamo,M,Football,football,1,122203,DIN,False,False,0,2032,HR,Croatia,[],#0b59a1,#ffffff,#ffffff,0,0,0,0,0,0,0,0,0,0,1.0,5.0,1683478710.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1683478711,,,,,,
LPsPP,1,True,True,True,1.0,False,10396347,1683990000,nk-osijek-hnk-hajduk-split,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HR,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,HR,38341,False,True,170,True,False,344,48,34.0,100,Ended,finished,HNK Hajduk Split,hnk-hajduk-split,Hajduk,M,Football,football,1,62457,HAJ,False,False,0,2036,HR,Croatia,[],#ffffff,#ffffff,#ffffff,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,3,3,1,2,3,0,0,0,0,0,,3.0,1683996654.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'time.currentPeriodStart']",1683996659,,,,,,
EPsPP,2,True,True,True,1.0,False,10396320,1684512300,nk-osijek-hnk-sibenik,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HR,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,HR,38341,False,True,170,True,False,344,48,35.0,100,Ended,finished,HNK Šibenik,hnk-sibenik,Šibenik,M,Football,football,1,7650,SIB,False,False,0,2029,HR,Croatia,[],#fd6d19,#000080,#000080,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,1,1,0,1,1,4,4,1,3,4,,6.0,1684519233.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1684519581,,,,,,
OPsPP,3,True,True,True,1.0,False,10396345,1685206800,nk-osijek-hnk-rijeka,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HR,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,HR,38341,False,True,170,True,False,344,48,36.0,100,Ended,finished,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,1,1,0,1,1,1,1,1,0,1,1.0,6.0,1685213880.0,['cardsCode'],1685213895,1.0,,,,,
PPswyRd,2,True,,,,False,11361944,1687708800,nk-granicar-laze-nk-osijek,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,,100,Ended,finished,NK Granicar Laze,nk-granicar-laze,NK Granicar Laze,M,Football,football,1,24,GRA,,False,0,481171,,,[],#52b030,#52b030,#ffffff,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,0,0,0,0,0,9,9,4,5,9,,,,"['homeScore.period1', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period1', 'awayScore.period2', 'awayScore.normaltime']",1687717666,,,,,,
PPsowc,2,True,,,,False,11360180,1688311800,bohemians-praha-1905-nk-osijek,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,1.0,100,Ended,finished,Bohemians Praha 1905,bohemians-praha-1905,Bohemians,M,Football,football,1,5802,BOH,,False,0,6064,CZ,Czech Republic,[],#074329,#ffffff,#ffffff,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,2,2,1,1,2,3,3,0,3,3,,,1688318007.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688318009,,,,,,
