shirtNumber,jerseyNumber,position,substitute,captain,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.expectedGoals,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.goalsPrevented,statistics.totalCross,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.totalContest,statistics.shotOffTarget,statistics.totalClearance,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.fouls,statistics.keyPass,statistics.expectedAssists,statistics.aerialWon,player.firstName,player.lastName,statistics.aerialLost,statistics.outfielderBlock,statistics.accurateCross,statistics.wonContest,statistics.dispossessed,statistics.onTargetScoringAttempt,statistics.goalAssist,statistics.bigChanceCreated,statistics.blockedScoringAttempt,statistics.hitWoodwork,statistics.goals,team,player_type,statistics.totalOffside,statistics.bigChanceMissed
15,15,D,False,,Marcelo Herrera,marcelo-herrera,M. Herrera,D,173,954700,AR,Argentina,EUR,910051200,33.0,27.0,3.0,1.0,,,,,67.0,55.0,6.6,15.0,0.0,6.6,6.7,,7.0,2.0,2.0,1.0,,,1.0,2.0,2.0,,1.0,,0.328446,,,,,,1.0,,,,,,,,,away,main,,
2,2,D,False,,Robert Rojas,robert-rojas,R. Rojas,D,406,874964,PY,Paraguay,EUR,830822400,63.0,51.0,4.0,1.0,,,,,90.0,86.0,6.1,19.0,0.0,6.1,6.4,,2.0,3.0,4.0,2.0,1.0,,3.0,2.0,2.0,,,,0.00903537,1.0,,,,,,1.0,1.0,,,,,,,away,main,,
23,23,D,False,,Emanuel Mammana,emanuel-mammana,E. Mammana,D,361,358914,AR,Argentina,EUR,823910400,53.0,50.0,3.0,1.0,,,,,90.0,71.0,6.7,3.0,0.105,6.7,6.8,,,7.0,4.0,1.0,2.0,2.0,9.0,,2.0,,2.0,1.0,,,,,4.0,1.0,,2.0,,,,,,,,away,main,,
30,30,D,False,,Elías Gómez,elias-gomez,E. Gómez,D,110,365862,AR,Argentina,EUR,771120000,38.0,28.0,3.0,1.0,,,,,79.0,62.0,6.5,15.0,0.0,6.5,6.6,,3.0,5.0,4.0,1.0,2.0,,2.0,1.0,3.0,,2.0,,0.0213085,,,,1.0,,1.0,1.0,,,,,,,,away,main,,
31,31,M,False,,Santiago Simón,santiago-simon,S. Simón,M,597,1091058,AR,Argentina,EUR,1023926400,50.0,35.0,5.0,2.0,,,,,67.0,59.0,6.5,16.0,0.0549,6.5,6.7,,,4.0,4.0,1.0,1.0,,1.0,2.0,1.0,2.0,1.0,,0.0292622,,,,1.0,,,1.0,1.0,,,,1.0,,,away,main,,
22,22,M,False,True,Matías Kranevitter,matias-kranevitter,M. Kranevitter,M,236,295159,AR,Argentina,EUR,737942400,49.0,40.0,7.0,3.0,,,,,90.0,59.0,6.6,10.0,0.0,6.6,6.6,,,2.0,7.0,,,,1.0,,2.0,3.0,1.0,,0.00909057,2.0,,,,,,,1.0,,,,,,,away,main,,
26,26,M,False,,José Paradela,jose-paradela,J. Paradela,M,222,944623,AR,Argentina,EUR,913680000,45.0,39.0,1.0,,,,,,85.0,66.0,7.6,9.0,0.0334,7.6,7.7,,4.0,5.0,11.0,1.0,7.0,1.0,,,,3.0,1.0,1.0,0.123066,1.0,,,3.0,,3.0,7.0,,1.0,,,,,,away,main,,
8,8,M,False,,Agustín Palavecino,agustin-palavecino,A. Palavecino,M,497,941541,AR,Argentina,EUR,847497600,46.0,33.0,4.0,3.0,,,,,90.0,70.0,6.5,26.0,0.0,6.5,6.7,,9.0,8.0,5.0,1.0,,,1.0,,1.0,3.0,,3.0,0.182377,1.0,,,2.0,,4.0,,5.0,,,,,,,away,main,1.0,
36,36,M,False,,Pablo Solari,pablo-solari,P. Solari,M,1467,1018450,AR,Argentina,EUR,985219200,29.0,17.0,,,,,,,90.0,52.0,8.5,22.0,1.019,8.5,9.0,,3.0,10.0,3.0,3.0,7.0,1.0,,,,,,2.0,0.161982,,,,2.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,,2.0,away,main,,1.0
25,25,F,False,,Salomón Rondón,salomon-rondon,S. Rondón,F,1965,35532,VE,Venezuela,EUR,621907200,18.0,13.0,1.0,1.0,,,,,79.0,30.0,7.2,9.0,0.4666,7.2,7.3,,,5.0,3.0,,,2.0,1.0,,,1.0,,1.0,0.100637,2.0,,,4.0,,,,1.0,2.0,,,,,1.0,away,main,1.0,1.0
13,13,D,True,,Enzo Díaz,enzo-diaz,E. Díaz,D,169,932937,AR,Argentina,EUR,818294400,14.0,13.0,1.0,1.0,,,,,23.0,25.0,7.1,4.0,0.0,7.1,7.0,,3.0,2.0,4.0,,1.0,,1.0,1.0,2.0,,1.0,1.0,0.461663,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,,,,away,substitute,,
19,19,M,True,,Claudio Echeverri,echeverri-claudio,C. Echeverri,M,1645,1482424,AR,Argentina,EUR,1136160000,5.0,5.0,1.0,1.0,,,,,23.0,15.0,6.3,7.0,0.0498,6.3,6.5,,1.0,3.0,2.0,,1.0,1.0,,,1.0,1.0,,1.0,,,Claudio Echeverri,,,,,,2.0,,,,,,,away,substitute,,
