shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalClearance,statistics.goodHighClaim,statistics.saves,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.duelLost,statistics.duelWon,statistics.dispossessed,statistics.totalContest,statistics.totalTackle,statistics.aerialWon,statistics.interceptionWon,statistics.wasFouled,statistics.fouls,statistics.aerialLost,statistics.challengeLost,statistics.errorLeadToAGoal,statistics.keyPass,statistics.accurateCross,statistics.wonContest,statistics.shotOffTarget,statistics.onTargetScoringAttempt,statistics.goals,statistics.blockedScoringAttempt,statistics.goalAssist,statistics.bigChanceCreated,statistics.totalOffside,team,player_type,statistics.savedShotsFromInsideTheBox,statistics.punches,statistics.outfielderBlock
10,10,F,False,Indrit Tuci,,,tuci-indrit,I. Tuci,F,114,985412,AL,Albania,EUR,968889600,26.0,15.0,,,,,,,,66.0,33.0,6.6,16.0,6.6,6.5,,4.0,2.0,1.0,1.0,,2.0,,,2.0,1.0,,,1.0,,,1.0,,,,,,,home,main,,,
7,7,M,True,Luka Stojković,,,luka-stojkovic,L. Stojković,M,334,1102829,HR,Croatia,EUR,1067299200,34.0,27.0,4.0,3.0,,,,,,75.0,54.0,7.6,18.0,7.6,7.4,10.0,6.0,3.0,1.0,1.0,1.0,2.0,,,,2.0,2.0,,2.0,1.0,,1.0,2.0,,2.0,1.0,1.0,,home,substitute,,,
4,4,D,True,Marin Leovac,,,marin-leovac,M. Leovac,D,189,37433,HR,Croatia,EUR,586915200,30.0,24.0,,,,,,,,45.0,47.0,6.9,10.0,6.9,6.8,3.0,2.0,1.0,,,,,1.0,1.0,1.0,1.0,,,1.0,,,2.0,,,,,,,home,substitute,,,
21,21,F,True,Viktor Kanižaj,,,viktor-kanizaj,V. Kanižaj,F,62,965023,HR,Croatia,EUR,1044144000,8.0,7.0,1.0,1.0,,,,,,45.0,17.0,6.7,5.0,6.7,6.6,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,1.0,,,1.0,,,,,,1.0,home,substitute,,,
11,11,M,True,Lukas Kačavenda,,,lukas-kacavenda,L. Kačavenda,M,460,1083207,HR,Croatia,EUR,1046563200,15.0,13.0,,,,,,,,24.0,24.0,6.7,7.0,6.7,6.5,2.0,4.0,3.0,,5.0,,1.0,,,,1.0,,,,,2.0,1.0,,,,,,,home,substitute,,,
31,31,G,True,Zvonimir Šubarić,,,zvonimir-subaric,Z. Šubarić,G,69,808495,HR,Croatia,EUR,864518400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
2,2,D,True,Moreno Živković,,,moreno-zivkovic,M. Živković,D,92,1094372,HR,Croatia,EUR,1085184000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
6,6,M,True,Ilija Mašić,,,ilija-masic,I. Mašić,D,32,941892,BA,Bosnia & Herzegovina,EUR,923529600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
3,3,D,True,Matej Matić,Matej Matic,,matej-matic,M. Matić,M,39,1163371,HR,Croatia,EUR,1086393600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
13,13,M,True,Blaž Bošković,,,blaz-boskovic,B. Bošković,M,72,999101,BA,Bosnia & Herzegovina,EUR,1008374400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
15,15,M,True,Art Smakaj,,,art-smakaj,A. Smakaj,M,54,1148949,XK,Kosovo,EUR,1044316800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
23,23,M,True,Feta Fetai,Feta Fetai,,feta-fetai,F. Fetai,M,6,1508136,,,EUR,1115769600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
28,28,M,True,Ivan Canjuga,,,ivan-canjuga,I. Canjuga,M,31,1175150,HR,Croatia,EUR,1133308800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
