customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,changes.changeTimestamp,hasXg,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,awayRedCards,coverage,homeRedCards,aggregatedWinnerCode,previousLegEventId,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,homeScore.aggregated,awayScore.aggregated
iOstO,1,False,False,7384101,1505599200,santos-botafogo,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,"{'name': 'Football', 'slug': 'football', 'id': 1}",13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,"{'name': 'Brazil', 'slug': 'brazil', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 13, 'flag': 'brazil', 'alpha2': 'BR'}",251366,325,True,False,True,False,390,83,24,100,Ended,finished,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,[],#000000,#ffffff,#ffffff,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,[],#ffffff,#ffffff,#ffffff,1505605758,,True,True,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1505605754.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",,-1.0,,,,,,,,
iOstO,1,False,False,7383904,1496880000,santos-botafogo,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,"{'name': 'Football', 'slug': 'football', 'id': 1}",13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,"{'name': 'Brazil', 'slug': 'brazil', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 13, 'flag': 'brazil', 'alpha2': 'BR'}",251366,325,True,False,True,False,390,83,5,100,Ended,finished,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,[],#ffffff,#ffffff,#ffffff,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,[],#000000,#ffffff,#ffffff,1496886909,,True,True,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1496886901.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",,-1.0,,,,,,,,
iOstO,2,False,False,7044511,1473892200,santos-botafogo,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,"{'name': 'Football', 'slug': 'football', 'id': 1}",13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,"{'name': 'Brazil', 'slug': 'brazil', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 13, 'flag': 'brazil', 'alpha2': 'BR'}",251366,325,True,False,True,False,390,83,25,100,Ended,finished,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,[],#000000,#ffffff,#ffffff,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,[],#ffffff,#ffffff,#ffffff,1473898998,,True,True,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1473898996.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",,-1.0,,,,,,,,
iOstO,1,False,False,7044216,1465135200,santos-botafogo,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,"{'name': 'Football', 'slug': 'football', 'id': 1}",13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,"{'name': 'Brazil', 'slug': 'brazil', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 13, 'flag': 'brazil', 'alpha2': 'BR'}",251366,325,True,False,True,False,390,83,6,100,Ended,finished,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,[],#ffffff,#ffffff,#ffffff,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,[],#000000,#ffffff,#ffffff,1465141888,,True,True,1.0,3.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1465141885.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",,1.0,,,,,,,,
iOstO,1,False,False,5056774,1417374000,santos-botafogo,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,"{'name': 'Football', 'slug': 'football', 'id': 1}",13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,"{'name': 'Brazil', 'slug': 'brazil', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 13, 'flag': 'brazil', 'alpha2': 'BR'}",251366,325,True,False,True,False,390,83,37,100,Ended,finished,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,[],#ffffff,#ffffff,#ffffff,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,[],#000000,#ffffff,#ffffff,0,,,,,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,1417380762.0,,,-1.0,,,,,,,,
iOstO,1,False,False,6071118,1413505800,santos-botafogo,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,"{'name': 'Football', 'slug': 'football', 'id': 1}",13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,"{'name': 'Brazil', 'slug': 'brazil', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 13, 'flag': 'brazil', 'alpha2': 'BR'}",133138,373,False,False,False,False,0,283,3,100,Ended,finished,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,[],#ffffff,#ffffff,#ffffff,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,[],#000000,#ffffff,#ffffff,0,,,,,5.0,5.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,,1413512383.0,,1.0,-1.0,,1.0,6071108.0,Quarterfinals,quarterfinals,4.0,8.0,2.0
iOstO,2,False,False,6071108,1412202600,santos-botafogo,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,"{'name': 'Football', 'slug': 'football', 'id': 1}",13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,"{'name': 'Brazil', 'slug': 'brazil', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 13, 'flag': 'brazil', 'alpha2': 'BR'}",133138,373,False,False,False,False,0,283,3,100,Ended,finished,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,[],#000000,#ffffff,#ffffff,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,[],#ffffff,#ffffff,#ffffff,0,,,,,2.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,0.0,3.0,2.0,4.0,1412209450.0,,1.0,-1.0,,,,Quarterfinals,quarterfinals,4.0,,
iOstO,1,False,False,5056588,1409511600,santos-botafogo,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,"{'name': 'Football', 'slug': 'football', 'id': 1}",13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,"{'name': 'Brazil', 'slug': 'brazil', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 13, 'flag': 'brazil', 'alpha2': 'BR'}",251366,325,True,False,True,False,390,83,18,100,Ended,finished,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,[],#000000,#ffffff,#ffffff,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,[],#ffffff,#ffffff,#ffffff,0,,,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1409518626.0,,,-1.0,,,,,,,,
iOstO,2,False,False,3855541,1379280600,santos-botafogo,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,"{'name': 'Football', 'slug': 'football', 'id': 1}",13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,"{'name': 'Brazil', 'slug': 'brazil', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 13, 'flag': 'brazil', 'alpha2': 'BR'}",251366,325,True,False,True,False,390,83,21,100,Ended,finished,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,[],#ffffff,#ffffff,#ffffff,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,[],#000000,#ffffff,#ffffff,0,,,,,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,,1379287778.0,,,,,,,,,,,
iOstO,1,False,False,3681999,1369866600,santos-botafogo,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,"{'name': 'Football', 'slug': 'football', 'id': 1}",13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,"{'name': 'Brazil', 'slug': 'brazil', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 13, 'flag': 'brazil', 'alpha2': 'BR'}",251366,325,True,False,True,False,390,83,2,100,Ended,finished,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,[],#000000,#ffffff,#ffffff,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,[],#ffffff,#ffffff,#ffffff,0,,,,,2.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,
iOstO,2,False,False,2505980,1349908200,santos-botafogo,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,"{'name': 'Football', 'slug': 'football', 'id': 1}",13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,"{'name': 'Brazil', 'slug': 'brazil', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 13, 'flag': 'brazil', 'alpha2': 'BR'}",251366,325,True,False,True,False,390,83,29,100,Ended,finished,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,[],#000000,#ffffff,#ffffff,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,[],#ffffff,#ffffff,#ffffff,0,,,,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,,,,,,,,,,,,,,
iOstO,3,False,False,2505604,1342650600,santos-botafogo,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,"{'name': 'Football', 'slug': 'football', 'id': 1}",13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,"{'name': 'Brazil', 'slug': 'brazil', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 13, 'flag': 'brazil', 'alpha2': 'BR'}",251366,325,True,False,True,False,390,83,10,100,Ended,finished,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,[],#ffffff,#ffffff,#ffffff,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,[],#000000,#ffffff,#ffffff,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
iOstO,1,False,False,1953707,1319063400,santos-botafogo,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,"{'name': 'Football', 'slug': 'football', 'id': 1}",13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,"{'name': 'Brazil', 'slug': 'brazil', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 13, 'flag': 'brazil', 'alpha2': 'BR'}",251366,325,True,False,True,False,390,83,21,100,Ended,finished,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,[],#ffffff,#ffffff,#ffffff,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,[],#000000,#ffffff,#ffffff,0,,,,,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
iOstO,0,False,False,1690163,1315162800,santos-botafogo,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,"{'name': 'Football', 'slug': 'football', 'id': 1}",13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,"{'name': 'Brazil', 'slug': 'brazil', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 13, 'flag': 'brazil', 'alpha2': 'BR'}",251366,325,True,False,True,False,390,83,21,60,Postponed,postponed,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,[],#ffffff,#ffffff,#ffffff,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,[],#000000,#ffffff,#ffffff,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iOstO,1,False,False,1686838,1306618200,santos-botafogo,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,"{'name': 'Football', 'slug': 'football', 'id': 1}",13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,"{'name': 'Brazil', 'slug': 'brazil', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 13, 'flag': 'brazil', 'alpha2': 'BR'}",251366,325,True,False,True,False,390,83,2,100,Ended,finished,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,[],#000000,#ffffff,#ffffff,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,[],#ffffff,#ffffff,#ffffff,0,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
iOstO,2,False,False,1343213,1284076800,santos-botafogo,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,"{'name': 'Football', 'slug': 'football', 'id': 1}",13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,"{'name': 'Brazil', 'slug': 'brazil', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 13, 'flag': 'brazil', 'alpha2': 'BR'}",251366,325,True,False,True,False,390,83,20,100,Ended,finished,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,[],#ffffff,#ffffff,#ffffff,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,[],#000000,#ffffff,#ffffff,0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,
