shirtNumber,jerseyNumber,position,substitute,captain,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.accurateCross,statistics.duelLost,statistics.duelWon,statistics.totalContest,statistics.totalClearance,statistics.totalTackle,statistics.wasFouled,statistics.possessionLostCtrl,statistics.keyPass,player.firstName,player.lastName,statistics.aerialLost,statistics.challengeLost,statistics.outfielderBlock,statistics.interceptionWon,statistics.aerialWon,statistics.shotOffTarget,statistics.fouls,statistics.dispossessed,statistics.wonContest,statistics.onTargetScoringAttempt,statistics.bigChanceCreated,statistics.blockedScoringAttempt,statistics.goals,statistics.bigChanceMissed,statistics.hitWoodwork,team,player_type,statistics.errorLeadToAGoal,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.totalOffside
6,6,D,False,,Alejandro Rebola,alejandro-rebola,A. Rebola,D,13,830672,AR,Argentina,EUR,585705600.0,40.0,35.0,3.0,1.0,90.0,54.0,6.2,6.2,6.2,,,2.0,2.0,,4.0,,,6.0,,,,2.0,,,5.0,2.0,1.0,,,,,,,,1.0,,away,main,,,,
24,24,D,False,,Erik Godoy,erik-godoy,E. Godoy,D,51,249427,AR,Argentina,EUR,745459200.0,25.0,20.0,7.0,5.0,76.0,29.0,5.8,5.8,5.7,,,5.0,1.0,,2.0,1.0,,5.0,,,,,,,,,,5.0,,,,,,,,,away,main,,,,
22,22,D,False,,Alex Ibacache,alex-ibacache,A. Ibacache,D,186,925222,CL,Chile,EUR,916012800.0,38.0,29.0,8.0,2.0,90.0,52.0,6.3,6.3,6.4,2.0,1.0,1.0,2.0,1.0,2.0,1.0,,11.0,1.0,,,,,,,,,1.0,,1.0,,1.0,,,,,away,main,,,,
12,12,M,False,,Ulises Sánchez,ulises-sanchez,U. Sánchez,M,42,992114,AR,Argentina,EUR,898819200.0,27.0,21.0,7.0,5.0,79.0,51.0,6.5,6.5,6.8,2.0,,9.0,9.0,8.0,,2.0,3.0,16.0,,,,2.0,,,3.0,,1.0,,3.0,4.0,,,1.0,,,,away,main,,,,
5,5,M,False,,Santiago Longo,longo-santiago,S. Longo,M,25,990171,AR,Argentina,EUR,883612800.0,44.0,33.0,5.0,2.0,90.0,51.0,6.3,6.3,6.5,,,4.0,4.0,,1.0,2.0,1.0,11.0,,,,2.0,2.0,,1.0,1.0,,,,,,,,,,,away,main,,,,
36,36,M,False,,Tomas Alejandro Castro,alejandro-castro-tomas,T. A. Castro,M,3,1468139,AR,Argentina,EUR,958089600.0,20.0,16.0,3.0,1.0,45.0,33.0,6.1,6.1,6.1,,,6.0,3.0,4.0,1.0,1.0,1.0,10.0,,Tomas Alejandro Castro,,1.0,,,,,,,2.0,1.0,,,,,,,away,main,,,,
9,9,F,False,True,Pablo Vegetti,pablo-vegetti,P. Vegetti,F,333,583974,AR,Argentina,EUR,592876800.0,21.0,13.0,,,90.0,25.0,6.5,6.5,6.6,1.0,,2.0,2.0,,,,2.0,10.0,,,,1.0,1.0,,,,,,,,,,,,,,away,main,,,,
29,29,F,False,,Franco Jara,franco-jara,F. Jara,F,117,40776,AR,Argentina,EUR,584928000.0,8.0,6.0,,,45.0,20.0,6.4,6.4,6.5,,,3.0,2.0,,1.0,,2.0,8.0,,,,,,,,,,1.0,2.0,,,,,,,,away,main,,,,
20,20,M,True,,Mariano Miño,mariano-mino,M. Miño,M,5,932714,AR,Argentina,EUR,764812800.0,20.0,17.0,2.0,1.0,45.0,29.0,6.4,6.4,6.5,,,2.0,3.0,2.0,,,1.0,7.0,,,,,,,1.0,,,,2.0,2.0,,,,,,,away,substitute,,,,
11,11,M,True,,Ibrahim Hesar,ibrahim-hesar,I. Hesar,F,12,981453,AR,Argentina,EUR,753321600.0,7.0,6.0,,,45.0,12.0,6.4,6.4,6.4,2.0,,2.0,3.0,1.0,,,1.0,3.0,,,,1.0,,,,1.0,,1.0,,1.0,,,,,,,away,substitute,,,,1.0
