text,homeScore,awayScore,isLive,time,addedTime,incidentType,id,isHome,reversedPeriodTime,playerIn.name,playerIn.firstName,playerIn.lastName,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,length,description,incidentClass,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,confirmed,player.firstName,player.lastName,playerOut.firstName,playerOut.lastName,injury,assist1.name,assist1.firstName,assist1.lastName,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id,playerName,reason,rescinded
,,,,45,0.0,injuryTime,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,1.0,,35,,goal,170474440.0,True,11.0,,,,,,,,,,,,,,,,,regular,Kristian Fućak,fucak-kristian,K. Fućak,F,125.0,989335.0,,,,,,,Kristijan Lovrić,,,kristijan-lovric,K. Lovrić,M,557.0,359044.0,,,
,,,,35,,card,120827352.0,False,11.0,,,,,,,,,,,,,,,,,yellow,Bautista Cascini,bautista-cascini,B. Cascini,M,46.0,830669.0,,,,,,,,,,,,,,,Bautista Cascini,Foul,False
,,,,30,,card,120827350.0,False,16.0,,,,,,,,,,,,,,,,,yellow,Benedik Mioč,benedik-mioc,B. Mioč,M,32.0,314336.0,,,,,,,,,,,,,,,Benedik Mioč,Argument,False
,2.0,1.0,,29,,goal,170474341.0,False,17.0,,,,,,,,,,,,,,,,,regular,Ante Crnac,ante-crnac,A. Crnac,F,259.0,1090027.0,,,,,,,Arber Hoxha,,,arber-hoxha,A. Hoxha,F,111.0,890663.0,,,
,,,,27,,substitution,121897793.0,False,19.0,Bautista Cascini,,,bautista-cascini,B. Cascini,M,46.0,830669.0,Vinko Međimorec,vinko-medimorec,V. Međimorec,D,19.0,798469.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27,,substitution,121897792.0,False,19.0,Arb Manaj,,,arb-manaj,A. Manaj,F,79.0,1014718.0,Michael Agbekpornu,michael-agbekpornu,M. Agbekpornu,M,32.0,1005403.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18,,card,120827334.0,False,28.0,,,,,,,,,,,,,,,,,yellow,Marko Martinaga,marko-martinaga,M. Martinaga,M,22.0,789119.0,,,,,,,,,,,,,,,Marko Martinaga,Foul,False
,2.0,0.0,,18,,goal,170474085.0,True,28.0,,,,,,,,,,,,,,,,,regular,Mijo Caktaš,mijo-caktas,M. Caktaš,M,411.0,152887.0,,,,,,,Šime Gržan,,,sime-grzan,Š. Gržan,D,68.0,152402.0,,,
,1.0,0.0,,4,,goal,170473679.0,True,42.0,,,,,,,,,,,,,,,,,regular,Ramón Miérez,ramon-mierez,R. Miérez,F,404.0,836200.0,,,,,,,,,,,,,,,,,
