customId,winnerCode,coverage,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,changes.changes,changes.changeTimestamp,homeTeam.disabled,time.currentPeriodStartTimestamp,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,tournament.category.alpha2,tournament.uniqueTournament.category.alpha2,roundInfo.round,time.injuryTime1,time.injuryTime2,homeRedCards,awayRedCards
OPsRP,2,,True,False,10396469,1682957400,nk-slaven-belupo-hnk-rijeka,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,38341,170,True,False,True,False,344,48,100,Ended,finished,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,0,2042,HR,Croatia,[],#4f6abc,#ffffff,#ffffff,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,1,1,0,1,1,3,3,2,1,3,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682964044,False,1682964042.0,True,True,1.0,HR,HR,32.0,2.0,4.0,,
OPsEkk,3,,True,False,10396402,1683393000,nk-istra-1961-hnk-rijeka,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,38341,170,True,False,True,False,344,48,100,Ended,finished,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,NK Istra 1961,nk-istra-1961,Istra,M,Football,football,1,9068,IST,False,False,0,25529,HR,Croatia,[],#eee447,#222226,#222226,2,2,0,2,2,2,2,1,1,2,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1683400066,False,1683400064.0,True,True,1.0,HR,HR,33.0,2.0,8.0,,1.0
OPsFCRb,1,,True,False,10396336,1684076400,nk-varazdin-hnk-rijeka,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,38341,170,True,False,True,False,344,48,100,Ended,finished,NK Varaždin,nk-varazdin,Varaždin,M,Football,football,1,8362,VAR,False,0,231380,HR,Croatia,[],#004194,#ffffff,#ffffff,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,2,2,0,2,2,0,0,0,0,0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1684083374,False,1684083370.0,True,True,1.0,HR,HR,34.0,3.0,5.0,,
HPsOP,2,,True,False,10396338,1684690200,hnk-rijeka-gnk-dinamo-zagreb,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,38341,170,True,False,True,False,344,48,100,Ended,finished,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,GNK Dinamo Zagreb,gnk-dinamo-zagreb,Dinamo,M,Football,football,1,122203,DIN,False,False,0,2032,HR,Croatia,[],#0b59a1,#ffffff,#ffffff,1,1,0,1,1,2,2,1,1,2,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1684696999,False,1684696998.0,True,True,1.0,HR,HR,35.0,,3.0,,
OPsPP,3,,True,False,10396345,1685206800,nk-osijek-hnk-rijeka,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,38341,170,True,False,True,False,344,48,100,Ended,finished,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,1,1,0,1,1,1,1,1,0,1,['cardsCode'],1685213895,False,1685213880.0,True,True,1.0,HR,HR,36.0,1.0,6.0,,1.0
OPsgY,1,,True,False,11336925,1687624200,fc-spartak-trnava-hnk-rijeka,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,40028,853,False,False,False,False,0,86,100,Ended,finished,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,FC Spartak Trnava,fc-spartak-trnava,FC Spartak Trnava,M,Football,football,1,8083,TRN,False,False,0,2406,SK,Slovakia,[],#ff0000,#000000,#000000,3,3,3,0,3,1,1,0,1,1,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1687630476,False,1687630472.0,,,,,,1.0,,,,
OPstY,2,,True,False,11358621,1687966200,nk-domzale-hnk-rijeka,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,40028,853,False,False,False,False,0,86,100,Ended,finished,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,NK Domžale,nk-domzale,Domžale,M,Football,football,1,5392,DOM,,False,0,2418,SI,Slovenia,[],#ffff00,#0099ff,#0099ff,0,0,0,0,0,1,1,0,1,1,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1687972187,False,1687972183.0,,,,,,,,,,
OPsaLec,1,,True,False,11358681,1688225400,nk-bravo-hnk-rijeka,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,40028,853,False,False,False,False,0,86,100,Ended,finished,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,NK Bravo,nk-bravo,Bravo,M,Football,football,1,3137,BRA,False,False,0,261800,SI,Slovenia,[],#ffff00,#0000ff,#0000ff,3,3,1,2,3,0,0,0,0,0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688231294,False,1688231290.0,,,,,,1.0,,,,
OPsYcc,3,,False,False,11364768,1688484600,fk-cukaricki-hnk-rijeka,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,40028,853,False,False,False,False,0,86,100,Ended,finished,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,FK Čukarički,fk-cukaricki,Čukarički,M,Football,football,1,9795,FKC,False,False,0,5148,RS,Serbia,[],#ffffff,#000000,#000000,0,0,0,0,0,0,0,0,0,0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1688490702,False,1688487840.0,,,,,,,,,,
OPsrY,1,,True,False,11408258,1688734800,fc-koper-hnk-rijeka,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,40028,853,False,False,False,False,0,86,100,Ended,finished,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,FC Koper,fc-koper,Koper,M,Football,football,1,6611,KOP,False,False,0,2417,SI,Slovenia,[],#66ff00,#000000,#000000,3,3,1,2,3,0,0,0,0,0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1688740985,False,1688740981.0,,,,,,1.0,,,,
