shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.accurateCross,statistics.aerialLost,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.totalContest,statistics.wonContest,statistics.shotOffTarget,statistics.interceptionWon,statistics.wasFouled,statistics.possessionLostCtrl,statistics.keyPass,statistics.totalClearance,captain,statistics.challengeLost,statistics.outfielderBlock,statistics.totalTackle,statistics.fouls,statistics.dispossessed,statistics.bigChanceCreated,statistics.totalOffside,statistics.goalAssist,statistics.bigChanceMissed,statistics.onTargetScoringAttempt,statistics.goals,statistics.blockedScoringAttempt,statistics.errorLeadToAShot,team,player_type,statistics.goodHighClaim,statistics.punches
13,13,F,True,Riley Tanner,,,tanner-riley,R. Tanner,F,27,1471001,PA,Panama,EUR,939945600.0,4.0,1.0,1.0,,,,,,37.0,12.0,6.9,6.9,6.8,,,,,2.0,1.0,2.0,1.0,1.0,,,5.0,1.0,1.0,,,,,,1.0,,,,,1.0,,,,away,substitute,,
7,7,M,True,Emily Cedeno Coba,,,emily-cedeno-coba,E. C. Coba,M,8,1417349,PA,Panama,EUR,1069459200.0,5.0,3.0,,,,,,,36.0,15.0,6.4,6.4,6.3,2.0,,,1.0,5.0,4.0,,,,,1.0,9.0,1.0,,,4.0,,2.0,,1.0,,,,,,,,,away,substitute,,
6,6,M,True,Deysire Salazar,,,salazar-deysire,D. Salazar,M,1,1387551,PA,Panama,EUR,1078358400.0,3.0,3.0,1.0,1.0,,,,,25.0,9.0,6.5,6.5,6.4,,,1.0,,3.0,1.0,,,,,,1.0,,1.0,,2.0,1.0,1.0,,,,,,,,,,,away,substitute,,
19,19,F,True,Lineth Cedeño,,,lineth-cedeno,L. Cedeño,F,20,1387537,PA,Panama,EUR,975974400.0,3.0,3.0,1.0,1.0,,,,,11.0,10.0,6.4,6.4,6.4,,,1.0,,3.0,1.0,3.0,1.0,,,,3.0,,,,,,,,,,,,,,,1.0,,away,substitute,,
14,14,F,True,Carmen Montenegro,,,carmen-montenegro,C. Montenegro,M,2,1471000,PA,Panama,EUR,975974400.0,3.0,3.0,,,,,,,17.0,6.0,6.6,6.6,6.6,,,2.0,1.0,3.0,2.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,away,substitute,,
1,1,G,True,Sasha Fábrega,,,sasha-fabrega,S. Fábrega,G,1,1387547,PA,Panama,EUR,656640000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
22,22,G,True,Farissa Córdoba,,,farissa-cordoba,F. Córdoba,G,0,1503854,PA,Panama,EUR,615168000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
16,16,D,True,Rebeca Espinosa,,,espinosa-rebeca,R. Espinosa,D,3,1387540,PA,Panama,EUR,710294400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
17,17,M,True,Laurie Batista,,,batista-laurie,L. Batista,M,2,1387535,PA,Panama,EUR,833328000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
18,18,M,True,Erika Hernández,,,erika-hernandez,E. Hernández,M,4,1387542,PA,Panama,EUR,921628800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
21,21,M,True,Nicole De Obaldía,,,nicole-de-obaldia,N. D. Obaldía,M,8,1387545,PA,Panama,EUR,958435200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
