shirtNumber,jerseyNumber,position,substitute,captain,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.duelWon,statistics.totalContest,statistics.wonContest,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.expectedGoals,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.goalsPrevented,player.firstName,player.lastName,statistics.totalCross,statistics.accurateCross,statistics.duelLost,statistics.challengeLost,statistics.shotOffTarget,statistics.totalClearance,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.fouls,statistics.expectedAssists,statistics.aerialLost,statistics.aerialWon,statistics.outfielderBlock,statistics.keyPass,statistics.clearanceOffLine,statistics.goalAssist,statistics.dispossessed,statistics.bigChanceCreated,statistics.totalOffside,statistics.onTargetScoringAttempt,statistics.goals,statistics.blockedScoringAttempt,team,player_type,statistics.goodHighClaim,statistics.bigChanceMissed
20,20,F,False,,Stiven Mendoza,stiven-mendoza,S. Mendoza,M,898,354510,CO,Colombia,EUR,709603200,28.0,19.0,3.0,1.0,7.0,2.0,2.0,,,90.0,48.0,6.9,13.0,0.0598,6.9,7.1,,,,1.0,1.0,4.0,2.0,1.0,,1.0,1.0,4.0,2.0,0.026481,,,,1.0,,,,,,,,2.0,home,main,,
1,1,G,True,,Vladimir,vladimir,Vladimir,G,101,124996,BR,Brazil,EUR,616550400,7.0,2.0,5.0,,,,,1.0,2.0,28.0,11.0,6.1,5.0,0.0,6.1,6.3,-0.6329,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,
12,12,D,True,,Gabriel Inocêncio,gabriel-inocencio,Gabriel Inocêncio,D,65,1047680,BR,Brazil,EUR,777340800,5.0,4.0,,,3.0,2.0,1.0,,,18.0,15.0,6.3,5.0,0.0,6.3,6.2,,Gabriel Inocêncio,,1.0,,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,,home,substitute,,
97,97,F,True,,Luan Dias,luan-dias,Luan Dias,F,88,1016887,BR,Brazil,EUR,870307200,7.0,7.0,,,5.0,1.0,,,,18.0,16.0,6.6,2.0,0.0,6.6,6.7,,,,,,3.0,1.0,,,,3.0,2.0,1.0,,1.0,,,,,,,,,,,,home,substitute,,
31,31,D,True,,Alex Nascimento,alex-nascimento,A. Nascimento,D,126,931556,BR,Brazil,EUR,926294400,3.0,2.0,,,2.0,1.0,1.0,,,15.0,6.0,6.1,2.0,0.0,6.1,6.2,,,,,,4.0,,,,,,,1.0,,2.0,1.0,,,,,1.0,,,,,,home,substitute,,
36,36,F,True,,Deivid Washington,deivid-washington,D. Washington,F,594,1485371,BR,Brazil,EUR,1117929600,5.0,3.0,,,,,,,,15.0,9.0,6.5,2.0,0.0,6.5,6.4,,Deivid Washington,,,,2.0,,,1.0,,,,,,2.0,,,,,,,,,,,,home,substitute,,
2,2,D,True,,Luiz Felipe,luiz-felipe,Luiz Felipe,D,128,831993,BR,Brazil,EUR,747532800,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,
38,38,D,True,,Kevyson,kevyson,Kevyson,D,55,1389980,BR,Brazil,EUR,1080518400,,,,,,,,,,,,,,0.0,,,,Kevyson,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,
6,6,M,True,,Sandry,sandry,Sandry,M,421,973847,BR,Brazil,EUR,1030665600,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,
29,29,M,True,,Guilherme Camacho,guilherme-camacho,G. Camacho,M,228,76444,BR,Brazil,EUR,636336000,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,
30,30,F,True,,Lucas Braga,lucas-braga,L. Braga,M,352,934801,BR,Brazil,EUR,847584000,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,
47,47,M,True,,Miguel Terceros,miguel-terceros,Miguel Terceros,M,270,1159656,BO,Bolivia,EUR,1082851200,,,,,,,,,,,,,,0.0,,,,Miguel Terceros,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,
43,43,F,True,,Weslley Patati,weslley-patati,W. Patati,F,178,1148468,BR,Brazil,EUR,1044921600,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,
12,12,G,False,,Lucas Perri,lucas-perri,L. Perri,G,612,871290,BR,Brazil,EUR,881712000,17.0,17.0,1.0,1.0,,,,,,90.0,25.0,6.0,1.0,0.0,6.0,6.5,-0.4711,,,,,,,,,,,,,,,,,,,,,,,,,,away,main,2.0,
24,24,D,False,,Leonel Di Plácido,leonel-di-placido,Leonel Di Plácido,D,164,546338,AR,Argentina,EUR,759715200,24.0,20.0,3.0,2.0,1.0,,,,,83.0,46.0,6.2,11.0,0.0,6.2,6.3,,,,6.0,1.0,5.0,2.0,,1.0,1.0,1.0,,3.0,0.0368258,,,,,,,,,,,,,away,main,,
34,34,D,False,,Adryelson,adryelson,Adryelson,D,426,795261,BR,Brazil,EUR,890611200,68.0,57.0,4.0,,6.0,,,,,90.0,75.0,6.7,12.0,0.0182,6.7,6.9,,,,,,6.0,2.0,,2.0,1.0,,1.0,1.0,,3.0,5.0,,,,,,,,1.0,1.0,,away,main,,
94,94,D,False,,Philipe Sampaio,philipe-sampaio,P. Sampaio,D,153,588996,BR,Brazil,EUR,784512000,70.0,61.0,5.0,3.0,9.0,,,,,90.0,83.0,6.8,10.0,0.1093,6.8,6.8,,,,,,1.0,,1.0,5.0,1.0,2.0,2.0,1.0,0.00553867,,5.0,,,,,,,,,,,away,main,,1.0
21,21,D,False,True,Marçal,marcal,Marçal,D,516,143593,BR,Brazil,EUR,603849600,57.0,43.0,9.0,5.0,8.0,1.0,1.0,,,90.0,89.0,7.5,22.0,0.0,7.5,7.5,,,,13.0,5.0,6.0,1.0,,1.0,,1.0,3.0,3.0,0.147119,2.0,4.0,1.0,4.0,,1.0,,,,,,,away,main,,
5,5,M,False,,Danilo Barbosa,danilo-barbosa,Danilo Barbosa,M,296,330063,BR,Brazil,EUR,825465600,39.0,28.0,3.0,1.0,5.0,2.0,2.0,,,66.0,49.0,6.8,12.0,0.0,6.8,6.9,,,,,,3.0,1.0,,1.0,1.0,1.0,2.0,1.0,0.0385871,,,,1.0,,,1.0,,,,,,away,main,,
