shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.aerialWon,statistics.duelWon,statistics.totalClearance,statistics.wasFouled,statistics.goodHighClaim,statistics.punches,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.aerialLost,statistics.duelLost,statistics.dispossessed,statistics.totalContest,statistics.wonContest,statistics.onTargetScoringAttempt,statistics.goals,statistics.interceptionWon,statistics.totalTackle,statistics.keyPass,captain,statistics.challengeLost,statistics.fouls,statistics.totalCross,statistics.shotOffTarget,statistics.blockedScoringAttempt,statistics.accurateCross,statistics.goalAssist,statistics.bigChanceCreated,statistics.bigChanceMissed,statistics.totalOffside,team,player_type,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.outfielderBlock
11,11,F,False,Gastón Togni,,,gaston-togni,G. Togni,M,133,868361,AR,Argentina,EUR,874713600.0,30.0,23.0,2.0,2.0,,2.0,,1.0,,,84.0,57.0,8.4,19.0,8.4,8.3,,,,1.0,1.0,3.0,,,,2.0,,,,15.0,1.0,1.0,6.0,1.0,1.0,,1.0,home,main,,,
15,15,M,True,Tomás Escalante,,,tomas-escalante,T. Escalante,M,19,1017377,AR,Argentina,EUR,930873600.0,14.0,14.0,,,,4.0,,1.0,,,24.0,22.0,6.8,2.0,6.8,6.9,,2.0,,1.0,1.0,,,,2.0,,,2.0,,,1.0,,,,,,,home,substitute,,,
36,36,F,True,Facundo Echevarría,Facundo Echevarría,,facundo-echevarria,F. Echevarría,M,10,1094181,AR,Argentina,EUR,1028073600.0,2.0,2.0,,,,,,,,,11.0,5.0,7.4,1.0,7.4,7.4,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,home,substitute,,,
21,21,D,True,Santiago Ramos Mingo,,,ramos-mingo-santiago,S. R. Mingo,D,595,989843,AR,Argentina,EUR,1006300800.0,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
35,35,M,True,Benjamin Schamine,Benjamín Schamine,,schamine-benjamin,B. Schamine,M,2,1485083,AR,Argentina,EUR,1066953600.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,home,substitute,,,
1,1,G,True,Lucas Escobar,Lucas Escobar,,lucas-escobar,L. Escobar,G,6,1201405,AR,Argentina,EUR,1021507200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
13,13,D,True,Esteban Lucero,Esteban Lucero,,lucero-esteban,E. Lucero,D,2,1185048,AR,Argentina,EUR,1122595200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
33,33,D,True,Alan Tobías Morinigo,Alan Morinigo,,alan-tobias-morinigo,A. T. Morinigo,D,1,1201090,AR,Argentina,EUR,1127347200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
28,28,F,True,Lautaro Fedele,,,fedele-lautaro,L. Fedele,M,5,1120461,AR,Argentina,EUR,995068800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
20,20,F,True,Federico Versaci,,,federico-versaci,F. Versaci,M,30,1017431,AR,Argentina,EUR,1013817600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
39,39,M,True,Tomás Ortiz,,,tomas-ortiz,T. Ortiz,M,8,966177,AR,Argentina,EUR,952646400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
31,31,D,True,Thiago Schiavulli,Thiago Schiavulli,,schiavulli-thiago,T. Schiavulli,F,8,1201093,AR,Argentina,EUR,1063929600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
37,37,F,True,Ricardo Solbes,Ricardo Solbes,,ricardo-solbes,R. Solbes,F,15,1384961,AR,Argentina,EUR,1152316800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
1,1,G,False,José Devecchi,,,jose-devecchi,J. Devecchi,G,77,578460,AR,Argentina,EUR,805248000.0,22.0,16.0,15.0,9.0,,,,,2.0,,90.0,43.0,7.7,7.0,7.7,8.3,,,,,,,,,,,,,,,,,,,,,,away,main,4.0,9.0,
25,25,D,False,Gonzalo Bettini,,,gonzalo-bettini,G. Bettini,D,18,581630,AR,Argentina,EUR,717465600.0,32.0,20.0,7.0,2.0,,1.0,4.0,,,,90.0,63.0,6.3,18.0,6.3,6.5,1.0,4.0,,1.0,1.0,,,2.0,,,,2.0,1.0,4.0,,,,,,,,away,main,,,2.0
