shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalClearance,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.keyPass,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.accurateCross,statistics.duelLost,statistics.duelWon,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.fouls,statistics.aerialWon,statistics.blockedScoringAttempt,statistics.outfielderBlock,captain,statistics.totalContest,statistics.wonContest,statistics.dispossessed,statistics.shotOffTarget,statistics.onTargetScoringAttempt,statistics.goals,statistics.challengeLost,statistics.aerialLost,statistics.goalAssist,statistics.bigChanceCreated,team,player_type,statistics.errorLeadToAGoal,statistics.totalOffside,statistics.bigChanceMissed
23,23,D,False,Fikayo Tomori,,,fikayo-tomori,F. Tomori,D,4837,788255,EN,England,EUR,882489600,32.0,26.0,5.0,1.0,4.0,,,,,70.0,41.0,6.7,7.0,,6.7,6.5,,,1.0,1.0,,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,,,,away,main,1.0,,
25,25,D,False,Alessandro Florenzi,,,alessandro-florenzi,A. Florenzi,D,2278,152420,IT,Italy,EUR,668649600,42.0,35.0,5.0,3.0,,,,,,70.0,56.0,6.4,7.0,,6.4,6.2,,,4.0,1.0,2.0,1.0,,1.0,,,1.0,,,,,,,,3.0,,,,away,main,,,
33,33,M,False,Rade Krunić,,,rade-krunic,R. Krunić,M,1875,155449,BA,Bosnia & Herzegovina,EUR,749952000,38.0,33.0,1.0,,,,,,,70.0,50.0,7.1,7.0,,7.1,7.1,,,1.0,6.0,3.0,5.0,1.0,,,,,,,,1.0,,,,,,,,away,main,,,
32,32,M,False,Tommaso Pobega,,,tommaso-pobega,T. Pobega,M,1034,928796,IT,Italy,EUR,931996800,20.0,16.0,2.0,1.0,4.0,,,,,70.0,36.0,6.4,7.0,,6.4,6.2,1.0,,6.0,,,,,1.0,,1.0,1.0,,,,,,,,3.0,2.0,,,away,main,,,
30,30,M,False,Junior Messias,,,junior-messias,J. Messias,M,1917,888219,BR,Brazil,EUR,674092800,6.0,5.0,,,,,,,,32.0,16.0,6.7,4.0,,6.7,6.6,2.0,,3.0,2.0,1.0,1.0,1.0,,,1.0,,,,,1.0,1.0,,,1.0,1.0,,,away,main,,,
8,8,M,False,Ruben Loftus-Cheek,,,ruben-loftus-cheek,R. Loftus-Cheek,M,4546,284441,EN,England,EUR,822355200,20.0,15.0,,,,,,,,70.0,31.0,6.5,10.0,1.0,6.5,6.3,,,5.0,3.0,,2.0,1.0,1.0,,,,,,,3.0,,,,1.0,,,,away,main,,,
11,11,M,False,Christian Pulišić,,,christian-pulisic,C. Pulišić,M,22955,817957,US,USA,EUR,906076800,23.0,20.0,1.0,,1.0,,,,,70.0,38.0,6.7,12.0,3.0,6.7,6.5,3.0,1.0,9.0,3.0,1.0,1.0,2.0,3.0,,,,,4.0,,2.0,,,,,,1.0,1.0,away,main,,,
29,29,F,False,Lorenzo Colombo,,,lorenzo-colombo,L. Colombo,F,1482,930191,IT,Italy,EUR,1015545600,18.0,12.0,1.0,,1.0,,,,,70.0,25.0,6.6,8.0,,6.6,6.6,1.0,,4.0,3.0,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,3.0,,,away,main,,1.0,
18,18,M,True,Luka Romero,Luka Romero,,luka-romero,L. Romero,M,5166,1032022,AR,Argentina,EUR,1100736000,15.0,12.0,1.0,,,,,,,58.0,26.0,7.2,5.0,,7.2,7.0,,,4.0,4.0,,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,,away,substitute,,,
16,16,G,True,Mike Maignan,,,mike-maignan,M. Maignan,G,5203,191210,FR,France,EUR,804729600,9.0,9.0,,,,,,,,20.0,10.0,6.3,,,6.3,6.2,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,
