shirtNumber,jerseyNumber,position,substitute,captain,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalClearance,statistics.saves,statistics.punches,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.expectedGoals,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.goalsPrevented,statistics.totalCross,statistics.accurateCross,statistics.aerialLost,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.dispossessed,statistics.totalContest,statistics.wonContest,statistics.bigChanceCreated,statistics.shotOffTarget,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.fouls,statistics.keyPass,statistics.expectedAssists,statistics.outfielderBlock,statistics.onTargetScoringAttempt,statistics.blockedScoringAttempt,statistics.bigChanceMissed,statistics.totalOffside,team,player_type,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.goalAssist,statistics.goals
77,77,F,True,,Allano,,,allano,Allano,M,63,796925,BR,Brazil,EUR,798681600,8.0,7.0,1.0,1.0,,,,33.0,21.0,6.5,7.0,0.0,6.5,6.6,,,,1.0,,6.0,4.0,1.0,2.0,3.0,2.0,,,,1.0,1.0,1.0,,,,,,,,away,substitute,,,,
11,11,F,True,,Diego Gonçalves,,,diego-goncalves,Diego Gonçalves,M,76,344077,BR,Brazil,EUR,774835200,10.0,8.0,,,,,,15.0,15.0,6.5,6.0,0.0,6.5,6.5,,1.0,,2.0,3.0,3.0,3.0,,,1.0,,,,,,,,,0.00779159,,,,,,away,substitute,,,,
66,66,D,True,,Hugo,,,hugo,Hugo,D,49,1017827,BR,Brazil,EUR,872812800,1.0,1.0,,,,,,8.0,7.0,6.5,2.0,0.0,6.5,6.6,,,,,,3.0,1.0,,,,,,,1.0,1.0,,3.0,,,,,,,1.0,away,substitute,,,,
88,88,G,True,,Marcelo Rangel,,,marcelo-rangel,M. Rangel,G,39,870902,BR,Brazil,EUR,579830400,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
13,13,D,True,,Bruno Santos,,,bruno-santos,B. Santos,D,40,592568,BR,Brazil,EUR,729043200,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
43,43,D,True,,Edu,,,edu,Edu,D,35,989715,BR,Brazil,EUR,961113600,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
22,22,F,True,,Apodi,,,apodi,Apodi,D,137,33119,BR,Brazil,EUR,534816000,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
95,95,M,True,,Dodô,,,dodo,Dodô,M,24,1018871,BR,Brazil,EUR,992563200,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
27,27,F,True,,Alesson,,,alesson,Alesson,M,62,871015,BR,Brazil,EUR,919123200,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
55,55,M,True,,Luís Oyama,,,luis-oyama,Luís Oyama,M,181,922570,BR,Brazil,EUR,854582400,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
17,17,F,True,,Matheus Peixoto,,,matheus-peixoto,Matheus Peixoto,F,319,880169,BR,Brazil,EUR,816480000,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
