customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,homeRedCards,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,coverage,aggregatedWinnerCode,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,time.injuryTime1,time.injuryTime2,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId
xIcsBeo,1,True,False,10543594,,1678017600,hnk-vukovar-1991-nk-rudes,False,Prva NL,prva-nl,Croatia,croatia,Football,football,1,14,croatia,HR,1. NL,1-nl,#231d58,#da261b,Croatia,croatia,Football,football,1,14,croatia,HR,4423,False,True,724,False,False,0,4772,20.0,100,Ended,finished,HNK Vukovar 1991,hnk-vukovar-1991,Vukovar '91,M,Football,football,1,2142,VUK,,False,0,6672,HR,Croatia,[],#52b030,#52b030,#ffffff,NK Rudeš,nk-rudes,Rudeš,M,Football,football,1,4868,RUD,False,False,0,35226,HR,Croatia,[],#0163ac,#ffffff,#ffffff,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1678021140.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1678024081,,,,,,,,,,
OkksBeo,1,True,False,10543579,,1678622400,nk-rudes-hnk-orijent,False,Prva NL,prva-nl,Croatia,croatia,Football,football,1,14,croatia,HR,1. NL,1-nl,#231d58,#da261b,Croatia,croatia,Football,football,1,14,croatia,HR,4423,False,True,724,False,False,0,4772,21.0,100,Ended,finished,NK Rudeš,nk-rudes,Rudeš,M,Football,football,1,4868,RUD,False,False,0,35226,HR,Croatia,[],#0163ac,#ffffff,#ffffff,HNK Orijent,hnk-orijent,Orijent,M,Football,football,1,2310,ORI,False,False,0,25539,HR,Croatia,[],#f70c11,#ffffff,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1678626060.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1678629042,,,,,,,,,,
Beosvpkc,3,True,False,10543563,,1679149800,nk-rudes-nk-dubrava-tim-kabel,False,Prva NL,prva-nl,Croatia,croatia,Football,football,1,14,croatia,HR,1. NL,1-nl,#231d58,#da261b,Croatia,croatia,Football,football,1,14,croatia,HR,4423,False,True,724,False,False,0,4772,22.0,100,Ended,finished,NK Dubrava Tim Kabel,nk-dubrava-tim-kabel,Dubrava,M,Football,football,1,1342,DUB,False,False,0,275770,HR,Croatia,[],#5f5690,#ffffff,#ffffff,NK Rudeš,nk-rudes,Rudeš,M,Football,football,1,4868,RUD,False,False,0,35226,HR,Croatia,[],#0163ac,#ffffff,#ffffff,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1679153460.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1679156525,,,,,,,,,,
Beoseuub,2,False,False,11148180,,1679497200,nk-rudes-nk-ponikve,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,1.0,100,Ended,finished,NK Ponikve,nk-ponikve,Ponikve,M,Football,football,1,350,PON,False,False,0,173454,HR,Croatia,[],#52b030,#52b030,#ffffff,NK Rudeš,nk-rudes,Rudeš,M,Football,football,1,4868,RUD,False,False,0,35226,HR,Croatia,[],#0163ac,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1679503475.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1679503479,,,,,,,,,,
OkksBeo,1,True,False,11145299,,1679839200,nk-rudes-hnk-orijent,False,Prva NL,prva-nl,Croatia,croatia,Football,football,1,14,croatia,HR,1. NL,1-nl,#231d58,#da261b,Croatia,croatia,Football,football,1,14,croatia,HR,4423,False,True,724,False,False,0,4772,23.0,100,Ended,finished,NK Rudeš,nk-rudes,Rudeš,M,Football,football,1,4868,RUD,False,False,0,35226,HR,Croatia,[],#0163ac,#ffffff,#ffffff,HNK Orijent,hnk-orijent,Orijent,M,Football,football,1,2310,ORI,False,False,0,25539,HR,Croatia,[],#f70c11,#ffffff,#ffffff,3.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1679843160.0,"['homeScore.period2', 'awayScore.period2']",1679846293,,,,,,,,,,
BeosBvtc,2,True,False,11145295,1.0,1680532200,nk-rudes-nk-jarun,False,Prva NL,prva-nl,Croatia,croatia,Football,football,1,14,croatia,HR,1. NL,1-nl,#231d58,#da261b,Croatia,croatia,Football,football,1,14,croatia,HR,4423,False,True,724,False,False,0,4772,24.0,100,Ended,finished,NK Jarun,nk-jarun,Jarun,M,Football,football,1,1765,JAR,False,False,0,296026,HR,Croatia,[],#52b030,#52b030,#ffffff,NK Rudeš,nk-rudes,Rudeš,M,Football,football,1,4868,RUD,False,False,0,35226,HR,Croatia,[],#0163ac,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1680535920.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1680538900,,,,,,,,True,,
BeosxfMb,1,True,False,11146994,,1680964200,nk-rudes-nk-croatia-zmijavci,False,Prva NL,prva-nl,Croatia,croatia,Football,football,1,14,croatia,HR,1. NL,1-nl,#231d58,#da261b,Croatia,croatia,Football,football,1,14,croatia,HR,4423,False,True,724,False,False,0,4772,25.0,100,Ended,finished,NK Rudeš,nk-rudes,Rudeš,M,Football,football,1,4868,RUD,False,False,0,35226,HR,Croatia,[],#0163ac,#ffffff,#ffffff,NK Croatia Zmijavci,nk-croatia-zmijavci,Croatia (Z),M,Football,football,1,1304,CZM,False,False,0,217772,HR,Croatia,[],#f5485b,#f2f0f3,#f2f0f3,4.0,4.0,1.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,1680967980.0,['homeScore.period2'],1680971946,,,,,,,,,,
BeosqvX,1,True,False,11146992,,1681479000,nk-rudes-nk-kustosija,False,Prva NL,prva-nl,Croatia,croatia,Football,football,1,14,croatia,HR,1. NL,1-nl,#231d58,#da261b,Croatia,croatia,Football,football,1,14,croatia,HR,4423,False,True,724,False,False,0,4772,26.0,100,Ended,finished,NK Kustošija,nk-kustosija,Kustošija,M,Football,football,1,1849,KUS,False,False,0,118516,HR,Croatia,[],#bd2d22,#000000,#000000,NK Rudeš,nk-rudes,Rudeš,M,Football,football,1,4868,RUD,False,False,0,35226,HR,Croatia,[],#0163ac,#ffffff,#ffffff,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1681482780.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1681485769,,,,,,,,,,
BeosrDr,1,False,False,11220290,,1681830000,hnk-gorica-nk-rudes,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,,100,Ended,finished,HNK Gorica,hnk-gorica,Gorica,M,Football,football,1,10172,GOR,False,False,0,43917,HR,Croatia,[],#ff0000,#ffffff,#ffffff,NK Rudeš,nk-rudes,Rudeš,M,Football,football,1,4868,RUD,False,False,0,35226,HR,Croatia,[],#0163ac,#ffffff,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1681833300.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1681836107,-1.0,,,,,,,,,
BeosBOr,1,True,False,11147000,,1682168400,nk-bsk-bijelo-brdo-nk-rudes,False,Prva NL,prva-nl,Croatia,croatia,Football,football,1,14,croatia,HR,1. NL,1-nl,#231d58,#da261b,Croatia,croatia,Football,football,1,14,croatia,HR,4423,False,True,724,False,False,0,4772,27.0,100,Ended,finished,NK Rudeš,nk-rudes,Rudeš,M,Football,football,1,4868,RUD,False,False,0,35226,HR,Croatia,[],#0163ac,#ffffff,#ffffff,NK BSK Bijelo Brdo,nk-bsk-bijelo-brdo,BSK,M,Football,football,1,1199,BBR,False,False,0,44476,HR,Croatia,[],#fffc17,#0000ff,#0000ff,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1682172120.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1682175077,,,,,,,,True,,
