shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.accurateCross,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.totalContest,statistics.wonContest,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.fouls,statistics.keyPass,statistics.goalAssist,statistics.bigChanceCreated,statistics.totalClearance,statistics.outfielderBlock,statistics.aerialLost,statistics.blockedScoringAttempt,statistics.dispossessed,statistics.shotOffTarget,statistics.hitWoodwork,statistics.totalOffside,statistics.bigChanceMissed,statistics.onTargetScoringAttempt,statistics.goals,captain,team,player_type,statistics.errorLeadToAGoal,statistics.punches,statistics.clearanceOffLine,statistics.ownGoals
21,21,D,False,Yasmin Katie Mrabet,Yasmin Katie,Mrabet,yasmin-katie-mrabet,Y. K. Mrabet,D,49,1418157,MA,Morocco,EUR,934070400,19.0,11.0,5.0,2.0,,,82.0,28.0,5.9,8.0,5.9,5.9,,,1.0,,3.0,,,,,1.0,1.0,,,,,3.0,1.0,,,,,,,,,,,away,main,,,,1.0
2,2,D,False,Zineb Redouani,,,redouani-zineb,Z. Redouani,D,24,1426964,MA,Morocco,EUR,960768000,21.0,13.0,3.0,1.0,,,90.0,53.0,6.6,13.0,6.6,6.4,,,,3.0,8.0,,1.0,,4.0,7.0,1.0,,,,,2.0,1.0,,,2.0,,,,,,,,away,main,,,,
19,19,M,False,Sakina Ouzraoui Diki,,,ouzraoui-diki-sakina,S. O. Diki,F,46,1088620,MA,Morocco,EUR,999043200,14.0,6.0,,,,,89.0,42.0,5.7,22.0,5.7,5.6,1.0,,1.0,10.0,6.0,1.0,7.0,3.0,1.0,2.0,,3.0,,,,3.0,,,,4.0,,,,,,,,away,main,,,,
6,6,M,False,Elodie Nakkach,,,nakkach-elodie,E. Nakkach,M,39,974855,MA,Morocco,EUR,790560000,15.0,10.0,1.0,,,,82.0,29.0,6.4,6.0,6.4,6.5,,,,5.0,6.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,,,,1.0,,2.0,,,,,,,,,,away,main,,,,
7,7,M,False,Ghizlane Chebbak,,,chebbak-ghizlane,G. Chebbak,F,61,1426938,MA,Morocco,EUR,651283200,34.0,25.0,4.0,3.0,,,90.0,54.0,6.3,18.0,6.3,6.1,2.0,,1.0,8.0,4.0,3.0,3.0,1.0,,1.0,1.0,,,,,,,1.0,,2.0,,,,,2.0,,True,away,main,,,,
11,11,M,False,Fatima Tagnaout,,,fatima-tagnaout,F. Tagnaout,M,48,1426937,MA,Morocco,EUR,916790400,27.0,17.0,3.0,,,,90.0,48.0,6.0,20.0,6.0,6.0,2.0,1.0,,11.0,5.0,3.0,4.0,3.0,,2.0,,1.0,3.0,,,,,3.0,,3.0,,,1.0,,,,,away,main,,,,
16,16,F,False,Anissa Lahmari,,,anissa-lahmari,A. Lahmari,M,36,974958,FR,France,EUR,856137600,20.0,12.0,,,,,67.0,41.0,6.7,14.0,6.7,6.6,,,3.0,7.0,9.0,,2.0,1.0,,2.0,3.0,,,,,3.0,,3.0,,3.0,,,2.0,,,,,away,main,,,,
23,23,F,False,Rosella Ayane,,,ayane-rosella,R. Ayane,M,200,822916,MA,Morocco,EUR,826934400,18.0,15.0,,,,,89.0,31.0,6.1,11.0,6.1,6.1,,,1.0,10.0,4.0,4.0,4.0,2.0,,,1.0,2.0,,,,1.0,,1.0,,1.0,,,1.0,,,,,away,main,,,,
8,8,M,True,Salma Amani,,,amani-salma,S. Amani,M,27,974915,MA,Morocco,EUR,628214400,3.0,2.0,,,,,23.0,5.0,6.4,1.0,6.4,6.3,,,,4.0,,,,,,,,1.0,,,,,,3.0,,,,,,,1.0,,,away,substitute,,,,
10,10,M,True,Najat Badri,,,badri-najat,N. Badri,D,21,1426949,MA,Morocco,EUR,580003200,10.0,8.0,,,,,8.0,11.0,6.5,2.0,6.5,6.5,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,away,substitute,,,,
5,5,D,True,Nesryne El Chad,,,el-chad-nesryne,N. E. Chad,D,47,1137313,MA,Morocco,EUR,1047513600,2.0,1.0,1.0,,,,8.0,5.0,6.4,1.0,6.4,6.3,,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,away,substitute,,,,
20,20,F,True,Sofia Bouftini,,,bouftini-sofia,S. Bouftini,M,24,1426959,MA,Morocco,EUR,1011916800,1.0,1.0,,,,,1.0,2.0,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,away,substitute,,,,
9,9,F,True,Ibtissam Jraidi,,,jraidi-ibtissam,I. Jraïdi,F,26,1426941,MA,Morocco,EUR,723859200,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
12,12,G,True,Assia Zouhair,,,zouhair-assia,A. Zouhair,G,22,1426930,MA,Morocco,EUR,672969600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
22,22,G,True,Ines Arouaissa,,,arouaissa-ines,I. Arouaissa,G,34,1008044,MA,Morocco,EUR,993859200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
13,13,M,True,Sabah Seghir,,,sabah-seghir,S. Seghir,D,29,1137764,MA,Morocco,EUR,970012800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
14,14,D,True,Rkia Mazrouai,,,rkia-mazrouai,R. Mazrouai,D,42,1169250,MA,Morocco,EUR,1021075200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
3,3,D,True,Nouhaila Benzina,,,benzina-nouhaila,N. Benzina,D,25,1426953,MA,Morocco,EUR,894844800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
15,15,F,True,Fátima Gharbi,,,fatima-gharbi,F. Gharbi,F,25,1503855,MA,Morocco,EUR,989884800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
18,18,F,True,Kenza Chapelle,,,kenza-chapelle,K. Chapelle,F,26,1082329,MA,Morocco,EUR,1029974400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
