shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.aerialWon,statistics.duelWon,statistics.totalClearance,statistics.errorLeadToAShot,statistics.punches,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.accurateCross,statistics.aerialLost,statistics.duelLost,statistics.dispossessed,statistics.totalContest,statistics.wonContest,statistics.bigChanceCreated,statistics.shotOffTarget,statistics.onTargetScoringAttempt,statistics.blockedScoringAttempt,statistics.interceptionWon,statistics.totalTackle,statistics.keyPass,statistics.challengeLost,statistics.wasFouled,statistics.fouls,captain,statistics.bigChanceMissed,statistics.totalOffside,statistics.hitWoodwork,team,player_type,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.outfielderBlock,statistics.goalAssist,statistics.goals
7,7,F,False,Sarina Bolden,,,bolden-sarina,S. Bolden,F,37,1174658,PH,Philippines,EUR,836092800.0,14.0,6.0,1.0,,3.0,5.0,1.0,,,,,83.0,29.0,6.9,14.0,6.9,6.9,,,7.0,15.0,3.0,2.0,1.0,,,1.0,,2.0,,,3.0,1.0,2.0,,,,,away,main,,,,,,1.0
21,21,F,False,Katrina Guillou,,,katrina-guillou,K. Guillou,M,16,1126721,PH,Philippines,EUR,755740800.0,18.0,8.0,3.0,,2.0,5.0,,,,,,90.0,35.0,6.9,16.0,6.9,6.8,,,2.0,3.0,,,,,2.0,,,3.0,3.0,,,,1.0,,,,,away,main,,,,,,
9,9,F,True,Isabella Flanigan,,,flanigan-isabella,I. Flanigan,D,11,1174058,,,EUR,,5.0,3.0,,,,1.0,,,,,,26.0,10.0,6.7,4.0,6.7,6.6,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,away,substitute,,,,,,
19,19,D,True,Dominique Randle,,,dominique-randle,D. Randle,D,6,1174046,PH,Philippines,EUR,787017600.0,7.0,2.0,,,,,1.0,,,,,20.0,14.0,6.5,11.0,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,,
6,6,M,True,Tahnai Annis,,,annis-tahnai,T. Annis,M,6,1174043,,,EUR,,10.0,5.0,1.0,,1.0,1.0,,,,,,20.0,12.0,6.4,6.0,6.4,6.3,,,1.0,2.0,1.0,,,,,,,,,,,,1.0,,,,,away,substitute,,,,,,
15,15,F,True,Carleigh Frilles,,,frilles-carleigh,C. Frilles,M,12,1174060,PH,Philippines,EUR,1018483200.0,3.0,1.0,,,,,,,,,,13.0,5.0,6.6,2.0,6.6,6.6,,,,2.0,,,,,1.0,,,1.0,,1.0,2.0,,,,,1.0,,away,substitute,,,,,,
12,12,D,True,Ryley Bugay,,,bugay-ryley,R. Bugay,M,6,1174044,PH,Philippines,EUR,822355200.0,2.0,,1.0,,1.0,1.0,,,,,,13.0,3.0,6.5,2.0,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,,
22,22,G,True,Kiara Fontanilla,,,fontanilla-kiara,K. Fontanilla,G,5,1174059,PH,Philippines,EUR,962409600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,,
18,18,G,True,Kaiya Rose Jota,,,kaiya-rose-jota,K. R. Jota,G,6,1415963,PH,Philippines,EUR,1139184000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,,
2,2,M,True,Malea Cesar,,,cesar-malea,M. Cesar,D,10,1174057,PH,Philippines,EUR,1070928000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,,
23,23,D,True,Reina Bonta,,,reina-bonta,R. Bonta,D,15,1403426,PH,Philippines,EUR,924307200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,,
11,11,M,True,Anicka Castaneda,,,castaneda-anicka,A. Castaneda,M,5,1174055,,,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,,
10,10,F,True,Chandler McDaniel,,,mcdaniel-chandler,C. McDaniel,F,10,1174050,PH,Philippines,EUR,886550400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,,
14,14,M,True,Meryll Serrano,,,meryll-serrano,M. Serrano,F,5,1046641,PH,Philippines,EUR,869356800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,,
