playedEnough,statistics.rating,statistics.id,statistics.type,statistics.appearances,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,category,statistics.goals,statistics.expectedGoals,statistics.assists,statistics.expectedAssists,statistics.goalsAssistsSum,statistics.penaltiesTaken,statistics.penaltyGoals,statistics.shotFromSetPiece,statistics.freeKickGoal,statistics.scoringFrequency,statistics.totalShots,statistics.shotsOnTarget,statistics.bigChancesMissed,statistics.bigChancesCreated,statistics.accuratePasses,statistics.accuratePassesPercentage,statistics.keyPasses,statistics.accurateLongBalls,statistics.successfulDribbles,statistics.successfulDribblesPercentage,statistics.penaltyWon,statistics.tackles,statistics.interceptions,statistics.clearances,statistics.possessionLost,statistics.yellowCards,statistics.redCards
True,,866904,overall,33,Vinícius Júnior,vinicius-junior,Vinícius,F,145260,868812,assists,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,
True,,876778,overall,34,Rodrygo,rodrygo,Rodrygo,F,59539,910536,assists,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,
True,,871132,overall,31,Marco Asensio,marco-asensio,M. Asensio,F,19176,361004,assists,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,
True,,866928,overall,30,Toni Kroos,toni-kroos,T. Kroos,M,46660,26502,assists,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
True,,866912,overall,34,Federico Valverde,federico-valverde,F. Valverde,M,38049,831808,assists,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
True,,866914,overall,33,Aurélien Tchouaméni,aurelien-tchouameni,A. Tchouaméni,M,22302,859025,assists,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
True,,866932,overall,30,Dani Ceballos,dani-ceballos,D. Ceballos,M,8035,547838,assists,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
True,,866910,overall,24,Karim Benzema,karim-benzema,K. Benzema,F,164944,3306,assists,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
True,,866902,overall,33,Luka Modrić,luka-modric,L. Modrić,M,87724,15466,assists,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
True,,866930,overall,23,David Alaba,david-alaba,D. Alaba,D,16914,66492,assists,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
True,,871134,overall,27,Daniel Carvajal,daniel-carvajal,D. Carvajal,D,12051,138572,assists,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
