shirtNumber,jerseyNumber,position,substitute,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.dispossessed,statistics.totalContest,statistics.blockedScoringAttempt,statistics.totalClearance,statistics.totalTackle,player.firstName,player.lastName,statistics.outfielderBlock,statistics.interceptionWon,statistics.aerialLost,statistics.shotOffTarget,statistics.fouls,statistics.keyPass,statistics.accurateCross,statistics.wonContest,statistics.wasFouled,captain,statistics.goalAssist,statistics.onTargetScoringAttempt,statistics.goals,statistics.totalOffside,team,player_type,statistics.bigChanceCreated,statistics.punches,statistics.hitWoodwork,statistics.bigChanceMissed
13,13,D,False,Andrew Gutman,andrew-gutman,A. Gutman,D,49,983770,US,USA,EUR,844214400,43.0,36.0,3.0,2.0,,,,,,90.0,67.0,7.5,12.0,7.5,7.3,1.0,1.0,4.0,8.0,,,7.0,3.0,,2.0,,,1.0,1.0,1.0,1.0,,2.0,,4.0,1.0,,1.0,1.0,,,away,main,,,,
20,20,M,False,Connor Ronan,connor-ronan,C. Ronan,M,159,989122,IE,Ireland,EUR,889142400,67.0,60.0,6.0,4.0,,,,,,90.0,73.0,7.1,8.0,7.1,6.9,,1.0,,2.0,,,1.0,1.0,,,,,2.0,,,,,,,1.0,,,,,,,away,main,,,,
97,97,M,False,Ralph Priso,ralph-priso,R. Priso,M,67,1002266,CA,Canada,EUR,1028246400,37.0,31.0,1.0,,,,,,,59.0,42.0,6.6,6.0,6.6,6.5,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,away,main,,,,
29,29,M,False,Braian Galván,braian-galvan,B. Galván,M,76,896247,AR,Argentina,EUR,970790400,29.0,24.0,1.0,1.0,,,,,,71.0,53.0,6.9,15.0,6.9,6.8,5.0,,4.0,3.0,1.0,1.0,4.0,,2.0,,,,,2.0,,2.0,1.0,1.0,1.0,3.0,,,,,,,away,main,,,,
23,23,M,False,Cole Bassett,cole-bassett,C. Bassett,M,269,945420,US,USA,EUR,996278400,47.0,41.0,2.0,1.0,,,,,,86.0,61.0,7.0,10.0,7.0,6.7,2.0,1.0,6.0,3.0,2.0,2.0,,1.0,1.0,2.0,,,,,1.0,1.0,1.0,3.0,,,,,,,,,away,main,,,1.0,
77,77,M,False,Darren Yapi,darren-yapi,D. Yapi,F,104,1047550,US,USA,EUR,1100822400,15.0,12.0,,,,,,,,71.0,26.0,6.8,8.0,6.8,6.6,,1.0,3.0,3.0,,1.0,2.0,1.0,,1.0,Darren Yapi,,,,1.0,2.0,,,,1.0,,,,,,,away,main,,,1.0,
14,14,F,False,Calvin Harris,calvin-harris,C. Harris,F,46,1108955,EN,England,EUR,953510400,13.0,11.0,1.0,1.0,,,,,,59.0,22.0,7.3,5.0,7.3,7.1,,1.0,2.0,4.0,,,1.0,,,1.0,Calvin Harris,,1.0,1.0,1.0,1.0,2.0,3.0,,1.0,1.0,,,,,,away,main,,,,
64,64,D,True,Moise Bombito,bombito-moise,M. Bombito,D,41,1469180,CA,Canada,EUR,954374400,14.0,12.0,2.0,1.0,,,,,,31.0,19.0,6.6,2.0,6.6,6.6,,,,3.0,,,,,,1.0,Moise Bombito,,,,,,,,,,2.0,,,,,,away,substitute,,,,
21,21,M,True,Bryan Acosta,bryan-acosta,B. Acosta,M,224,797162,HN,Honduras,EUR,754099200,9.0,8.0,3.0,2.0,,,,,,31.0,11.0,6.7,1.0,6.7,6.7,,,1.0,2.0,,,,,,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,away,substitute,,,,
12,12,F,True,Michael Barrios,michael-barrios,M. Barrios,F,141,791545,CO,Colombia,EUR,672192000,3.0,2.0,,,,,,,,19.0,9.0,6.5,3.0,6.5,6.5,2.0,,1.0,1.0,,,1.0,1.0,,,,,,,1.0,,,,,1.0,,,,1.0,,,away,substitute,,,,1.0
91,91,F,True,Kevin Cabral,kevin-cabral,K. Cabral,F,201,958128,FR,France,EUR,931564800,7.0,6.0,1.0,1.0,,,,,,19.0,11.0,7.9,1.0,7.9,7.7,,,,2.0,,,1.0,,,,,,,,,,,3.0,,1.0,1.0,,,1.0,1.0,,away,substitute,,,,
28,28,M,True,Sam Nicholson,sam-nicholson,S. Nicholson,M,15,269183,SX,Scotland,EUR,790560000,3.0,3.0,,,,,,,,9.0,3.0,6.6,,6.6,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
26,26,G,True,Abraham Rodriguez,abraham-rodriguez,A. Rodriguez,G,36,983760,US,USA,EUR,1027036800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
1,1,G,True,Marko Ilić,marko-ilic,M. Ilić,G,189,843151,RS,Serbia,EUR,886464000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
27,27,D,True,Sebastian Anderson,sebastian-anderson,S. Anderson,D,57,980952,US,USA,EUR,1028764800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
33,33,D,True,Steven Beitashour,steven-beitashour,S. Beitashour,D,123,114920,IR,Iran,EUR,539136000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
15,15,M,True,Danny Leyva,danny-leyva,D. Leyva,M,149,981054,US,USA,EUR,1052092800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
