shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,team,player_type
46,46,M,True,Aleksey Legchilin,,,aleksey-legchilin,A. Legchilin,M,5,68758,BY,Belarus,EUR,702950400.0,home,substitute
71,71,M,True,Anton Suchkov,,,suchkov-anton,A. Suchkov,M,8,1035169,BY,Belarus,EUR,1022630400.0,home,substitute
78,78,M,True,Maksim Yablonski,,,maksim-yablonski,M. Yablonski,M,3,887812,BY,Belarus,EUR,840067200.0,home,substitute
18,18,F,True,Maxim Kravtsov,Maxim,Kravtsov,maxim-kravtsov,M. Kravtsov,F,1,1046208,BY,Belarus,EUR,1024531200.0,home,substitute
99,99,G,False,Danilo Golović,,,danilo-golovic,D. Golović,G,5,1112758,RS,Serbia,EUR,915148800.0,away,main
2,2,,False,Ivan Bozovic,,,ivan-bozovic,I. Bozovic,,0,925400,,,EUR,,away,main
27,27,D,False,Momčilo Rašo,,,momcilo-raso,M. Rašo,D,7,796200,ME,Montenegro,EUR,855187200.0,away,main
24,24,M,False,Nikola Braunović,,,nikola-braunovic,N. Braunović,M,2,1466922,ME,Montenegro,EUR,869443200.0,away,main
5,5,D,False,Samir Arab,,,samir-arab,S. Arab,D,4,172303,MT,Malta,EUR,764553600.0,away,main
18,18,M,False,Ryohei Michibuchi,,,ryohei-michibuchi,R. Michibuchi,M,39,873092,JP,Japan,EUR,771724800.0,away,main
8,8,M,False,Paul Fenech,,,paul-fenech,P. Fenech,M,6,54599,MT,Malta,EUR,535420800.0,away,main
21,21,M,False,Jake Grech,,,grech-jake,J. Grech,M,12,847891,MT,Malta,EUR,848275200.0,away,main
19,19,D,False,Nikola Žerjal,,,nikola-zerjal,N. Žerjal,D,5,1398990,RS,Serbia,EUR,865900800.0,away,main
17,17,F,False,Peter Olawale,,,peter-olawale,P. Olawale,F,27,1002517,NG,Nigeria,EUR,1027641600.0,away,main
10,10,M,False,Ángel Torres,,,angel-torres,Á. Torres,M,48,954090,CO,Colombia,EUR,955843200.0,away,main
1,1,G,True,Rudi Briffa,,,rudi-briffa,R. Briffa,G,1,317609,MT,Malta,EUR,840585600.0,away,substitute
80,80,D,True,Evandro Gomes,Evandro Gomes,,evandro-gomes,E. Gomes,D,4,1171122,PT,Portugal,EUR,844128000.0,away,substitute
6,6,M,True,Marcus Grima,,,marcus-grima,M. Grima,M,1,994980,MT,Malta,EUR,964224000.0,away,substitute
7,7,M,True,Tristan Caruana,,,tristan-caruana,T. Caruana,M,9,54627,MT,Malta,EUR,684892800.0,away,substitute
11,11,M,True,Benjamin Hili,Benjamin Hili,,benjamin-hili,B. Hili,M,5,1138106,MT,Malta,EUR,1076889600.0,away,substitute
22,22,M,True,Jake Grech,,,jake-grech,J. Grech,M,1,1468182,MT,Malta,EUR,1078531200.0,away,substitute
77,77,M,True,Aleksa Andrejić,,,aleksa-andrejic,A. Andrejić,M,8,211610,RS,Serbia,EUR,727833600.0,away,substitute
9,9,F,True,Manyluak Aguek,Manyluak Aguek,,manyluak-aguek,M. Aguek,F,2,1123277,AU,Australia,EUR,949968000.0,away,substitute
23,23,F,True,Gabriel Diego Farrugia,,,gabriel-diego-farrugia,G. D. Farrugia,F,3,1468181,MT,Malta,EUR,1087171200.0,away,substitute
