shirtNumber,jerseyNumber,position,substitute,captain,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.keyPass,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.dispossessed,statistics.totalClearance,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.fouls,player.firstName,player.lastName,statistics.totalCross,statistics.aerialLost,statistics.aerialWon,statistics.shotOffTarget,statistics.lastManTackle,statistics.totalContest,statistics.wonContest,statistics.blockedScoringAttempt,statistics.onTargetScoringAttempt,statistics.accurateCross,statistics.bigChanceCreated,statistics.totalOffside,statistics.bigChanceMissed,statistics.hitWoodwork,team,player_type,statistics.outfielderBlock,statistics.goalAssist,statistics.goals
11,11,F,False,,Adam Bareiro,adam-bareiro,A. Bareiro,F,348,871580,PY,Paraguay,EUR,838339200.0,23.0,15.0,,,,,,89.0,41.0,7.4,13.0,1.0,7.4,7.6,7.0,11.0,,,1.0,,1.0,2.0,2.0,,,1.0,4.0,4.0,2.0,,5.0,4.0,,,,,,,2.0,home,main,,,
10,10,M,True,,Nahuel Barrios,nahuel-barrios,N. Barrios,F,290,875236,AR,Argentina,EUR,894499200.0,28.0,23.0,2.0,2.0,,,,45.0,38.0,6.5,10.0,1.0,6.5,6.6,3.0,3.0,,,,,,2.0,,,,1.0,,,,,4.0,1.0,,,1.0,,,,,home,substitute,,,
49,49,F,True,,Diego Perea,diego-perea,D. Perea,F,26,1464026,CO,Colombia,EUR,,6.0,6.0,,,,,,29.0,12.0,6.6,3.0,,6.6,6.6,2.0,2.0,,2.0,,1.0,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,home,substitute,,,
20,20,D,True,,Agustín Martegani,agustin-martegani,A. Martegani,M,178,984926,AR,Argentina,EUR,958780800.0,23.0,22.0,,,,,,22.0,30.0,6.8,4.0,1.0,6.8,6.9,1.0,3.0,,1.0,,,,1.0,,,,2.0,,,,,2.0,2.0,,,1.0,,,,,home,substitute,,,
15,15,M,True,,Diego Calcaterra,diego-calcaterra,D. Calcaterra,D,21,1086957,AR,Argentina,EUR,996105600.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,Diego Calcaterra,,,,,,,,,,,,,,,,home,substitute,,,
9,9,F,True,,Nicolás Blandi,nicolas-blandi,N. Blandi,F,69,128211,AR,Argentina,EUR,632188800.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,home,substitute,,,
1,1,G,True,,Facundo Altamirano,facundo-altamirano,F. Altamirano,G,73,794812,AR,Argentina,EUR,827366400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
32,32,D,True,,Ezequiel Herrera,ezequiel-herrera,E. Herrera,D,10,1199307,AR,Argentina,EUR,1043193600.0,,,,,,,,,,,,,,,,,,,,,,,,Ezequiel Herrera,,,,,,,,,,,,,,,,home,substitute,,,
46,46,D,True,,Tomás Silva,tomas-silva,T. Silva,D,18,1175560,AR,Argentina,EUR,1047081600.0,,,,,,,,,,,,,,,,,,,,,,,,Tomas Silva,,,,,,,,,,,,,,,,home,substitute,,,
58,58,M,True,,Elian Mateo Irala,elian-mateo-irala,E. M. Irala,M,33,1385756,AR,Argentina,EUR,1073347200.0,,,,,,,,,,,,,,,,,,,,,,,,Elian Mateo Irala,,,,,,,,,,,,,,,,home,substitute,,,
19,19,M,True,,Carlos Insaurralde,carlos-insaurralde,M. Insaurralde,M,37,960297,AR,Argentina,EUR,917740800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
50,50,M,True,,Francisco Perruzzi,francisco-perruzzi,F. Perruzzi,M,30,1116658,AR,Argentina,EUR,981676800.0,,,,,,,,,,,,,,,,,,,,,,,,Francisco Perruzzi,,,,,,,,,,,,,,,,home,substitute,,,
55,55,F,True,,Juan Goyeneche,juan-goyeneche,J. Goyeneche,F,6,1405200,AR,Argentina,EUR,980899200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
25,25,G,False,,Alexis Martín Arias,alexis-martin-arias,A. M. Arias,G,61,340849,AR,Argentina,EUR,710208000.0,31.0,29.0,5.0,3.0,1.0,1.0,2.0,90.0,38.0,7.4,2.0,,7.4,7.3,,2.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,away,main,,,
3,3,D,False,,Luciano Sánchez,luciano-sanchez,L. Sánchez,M,29,933158,AR,Argentina,EUR,759456000.0,63.0,52.0,14.0,6.0,,,,90.0,83.0,6.7,15.0,1.0,6.7,6.8,5.0,,1.0,1.0,2.0,,,,2.0,,,1.0,1.0,,,,,,,,1.0,,,,,away,main,,,
29,29,D,False,,Marco Di Cesare,marco-di-cesare,M. D. Cesare,D,116,1017460,AR,Argentina,EUR,1012348800.0,69.0,63.0,2.0,,,,,90.0,75.0,6.9,7.0,,6.9,7.0,4.0,4.0,,,3.0,1.0,,,2.0,,,,2.0,4.0,,,,,,,,,,,,away,main,,,
6,6,D,False,,Lucas Villalba,lucas-villalba,L. Villalba,D,135,260077,AR,Argentina,EUR,777254400.0,68.0,55.0,16.0,6.0,,,,90.0,77.0,7.1,14.0,,7.1,7.2,3.0,4.0,2.0,,2.0,1.0,3.0,,1.0,,,,,1.0,,,,,,,,,,,,away,main,1.0,,
