shirtNumber,jerseyNumber,position,substitute,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalClearance,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.punches,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,captain,player.firstName,player.lastName,statistics.aerialLost,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.dispossessed,statistics.shotOffTarget,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.challengeLost,statistics.penaltyConceded,statistics.fouls,statistics.totalCross,statistics.totalContest,statistics.wonContest,statistics.outfielderBlock,statistics.accurateCross,statistics.totalOffside,statistics.keyPass,team,player_type,statistics.bigChanceMissed,statistics.onTargetScoringAttempt,statistics.blockedScoringAttempt,statistics.penaltyWon,statistics.bigChanceCreated,statistics.goals
17,17,M,False,Seraina Piubel,seraina-piubel,S. Piubel,M,99,998141,CH,Switzerland,EUR,959904000.0,47.0,39.0,,,,,,,,89.0,74.0,8.2,20.0,8.2,7.8,,,,2.0,1.0,7.0,6.0,,1.0,2.0,2.0,1.0,2.0,,,2.0,5.0,2.0,,1.0,,1.0,away,main,,2.0,,,1.0,1.0
10,10,M,False,Ramona Bachmann,ramona-bachmann,R. Bachmann,F,401,68308,CH,Switzerland,EUR,662083200.0,52.0,47.0,3.0,2.0,,,,,,70.0,65.0,7.4,10.0,7.4,7.2,,,,,,3.0,2.0,,1.0,,1.0,,1.0,,1.0,3.0,2.0,1.0,,2.0,,2.0,away,main,,1.0,1.0,,,1.0
9,9,F,False,Ana-Maria Crnogorčević,ana-maria-crnogorcevic,A. Crnogorčević,F,553,68296,CH,Switzerland,EUR,654912000.0,33.0,29.0,,,3.0,,,,,90.0,53.0,6.8,10.0,6.8,6.5,,,,1.0,6.0,5.0,7.0,,2.0,,1.0,,1.0,,2.0,2.0,1.0,,,,,1.0,away,main,2.0,2.0,,,,
23,23,F,True,Alisha Lehmann,alisha-lehmann,A. Lehmann,F,4808,937402,CH,Switzerland,EUR,916876800.0,10.0,6.0,,,,,,,,20.0,12.0,6.6,5.0,6.6,6.6,,,,1.0,,3.0,,1.0,,,,,,,1.0,,,,,,,1.0,away,substitute,,,1.0,,,
16,16,M,True,Sandrine Mauron,sandrine-mauron,S. Mauron,M,27,286383,CH,Switzerland,EUR,850953600.0,5.0,2.0,,,,,,,,15.0,7.0,6.6,3.0,6.6,6.6,,,,2.0,,3.0,,,,,,,,,1.0,1.0,,,,1.0,,1.0,away,substitute,,,,,,
8,8,M,True,Nadine Riesen,riesen-nadine,N. Riesen,D,25,1389930,CH,Switzerland,EUR,955411200.0,3.0,3.0,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,away,substitute,,,,,,
22,22,F,True,Meriame Terchoun,meriame-terchoun,M. Terchoun,F,45,187753,CH,Switzerland,EUR,814752000.0,1.0,1.0,,,,,,,,1.0,3.0,,1.0,,,,,,1.0,,2.0,,,,,,,,,,,1.0,,,,,,away,substitute,,1.0,,,,
12,12,G,True,Livia Peng,livia-peng,L. Peng,G,38,998140,CH,Switzerland,EUR,1016064000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,,
21,21,G,True,Seraina Friedli,friedli-seraina,S. Friedli,G,15,253659,CH,Switzerland,EUR,732585600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,,
4,4,D,True,Laura Felber,felber-laura,L. Felber,D,12,1093452,CH,Switzerland,EUR,998006400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,,
18,18,D,True,Viola Calligaris,viola-calligaris,V. Calligaris,D,67,838487,CH,Switzerland,EUR,827020800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,,
14,14,M,True,Marion Rey,rey-marion,M. Rey,D,13,1397071,CH,Switzerland,EUR,921974400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,,
3,3,D,True,Lara Marti,lara-marti,L. Marti,D,28,1023150,CH,Switzerland,EUR,937872000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,,
20,20,F,True,Fabienne Humm,fabienne-humm,F. Humm,F,33,93546,CH,Switzerland,EUR,535420800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,,
7,7,F,True,Amira Arfaoui,arfaoui-amira,A. Arfaoui,F,24,1093443,CH,Switzerland,EUR,934070400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,,
